# FILE DATA
ID : MDRW2100020306
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 토실 ㅋㅋㅋㅋㅋㅋ 차마 몰랐어요 하 그런 이유가...
P0 	: 가르치는 사람 몸도 진짜 보게되긴 하더라구요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ맞아요 중요하죠..
P1 	: 이지은 다이어트라고 종아리 알빼는 걸로 유명한 유투버도 있는데
P0 	: 힙으뜸아세요?
P1 	: 그건 진짜아파서 효과보기전에 제가 그만둬요
P1 	: 힙으뜸은 들어봤어요!!!
P0 	: 앜ㅋㅋㅋㅋㅋ
P0 	: 와 아프다니....
P0 	: 힙으뜸은 이름처럼 힙이 최고라 신뢰가 팍팍 가더라구요 ㅋㅋㅋ
P1 	: 나중에 한번 도전해보세요!!
P1 	: 오 힙으뜸님꺼보고
P1 	: 팔뚝?쪽 운동해봤었는데
P1 	: 경로를 잘못찾아갔군요 ㅋㅋㅋㅋㅋㅋ
P0 	: 앜ㅋㅋㅋㅋ 팔운동도 올리시는 군요
P0 	: 전 팔근육 만들고 싶은데 승모근 생긴단 말이 있어서..못하겠더라구여
P1 	: 헉 전 이미 승모근 한바가지에요..
P1 	: 어떡하죠..?
P0 	: 앜ㅋㅋㅋㅋ 본인거라 더 신경써서 그리보이는게 아닐까요??
P0 	: 옷에 따라 진짜 달라보이기도 하더라구요
P1 	: 맞아요 전 항상 라운드 티만 입는데
P0 	: 넵
P1 	: 어쩌다보니 스퀘어넥 옷
P1 	: 입어보고 후회했네여..
P0 	: 앜ㅋㅋㅋㅋ ㅠㅠ 저도 충격받았어요
P0 	: 심하다생각 안했는데.. 뭐가 막 속아있더라구여..??
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 후..오늘도 유튜브에 승모근 운동 이런거 검색해봐야겠네요
P0 	: 하 전 귀찮아서 그냥 달고 살래요 ㅋㅋㅋㅋㅋㅋ
