# FILE DATA
ID : MDRW2100026567
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 연어를 구워서 쪽파랑 같이 넣고 뜸들이고 비벼비벼
P1 	: 입니다
P1 	: 아 양념장이 필요합니다
P0 	: 이미 집밥이 아닌데요
P1 	: 생각보다 간단한 음식입니다
P1 	: 솥밥이 찐 입니다
P1 	: 강츄
P0 	: ㅜ 양념 내놔요
P0 	: 솥밥도 내놓고 그런말을 해욧!
P1 	: 양념드릴게요
P1 	: 잼나요 ㅋㅋ
P1 	: 말투갘ㅋㅋㅋㅋ
P1 	: 부대찌개는
P1 	: 어디서 난건가요 배민?
P0 	: 제 진심이 웃기신가요ㅎ
P0 	: 언니가 했쥬ㅎㅎ
P0 	: 언니가 부대찌개 좋아하고 잘해요
P0 	: 대량으로  해놔서 제가 와도 남았네요
P1 	: 와우
P1 	: 손이 크시네요
P1 	: 맛은 어때요?
P0 	: 맛이야 뭐ㅎㅎ
P0 	: 스팸과 소시지가 잔뜩 들었는데 맛이 없을리가요
P1 	: 언니가 백종원입니까
P0 	: 구할이 햄입니다ㅎㅎ
P1 	: 오
P1 	: 햄 너무 조아요
P1 	: 스팸은여?
P0 	: 스팸7 소시지 3
P0 	: 황금비율이쥬 ㅎ
P1 	: 와
P1 	: 부자시네요
P1 	: 스팸 7이면 재력있네요
