# FILE DATA
ID : MDRW2100012117
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 키우고 싶은 반려동물이 있나요?
P0 	: 반려식물도 좋아요
P1 	: 강아지 키우고싶어요
P1 	: 어릴땐 대형견 키우고 싶었고 지금도 그렇긴 한데
P0 	: 강아지 좋지
P0 	: 꼬리 살랑거리면서 가까이오면
P0 	: 기분 좋아서 쓰러져
P0 	: 으윽 삶의 행복이야
P1 	: 나는 대형견한테 산책 당할 거 같아서 무섭지만
P1 	: 그래도 리트리버 키우고 싶음
P1 	: 너는 강아지나 고양이 중에 뭐가 좋아
P0 	: 리트리버 좋지
P0 	: 나는 예전에는 강아지는 리트리버나 허스키
P0 	: 고양이는 러시안 블루였는데
P0 	: 친구가 러시안 블루 키우는거 보니까 애가 너무 맹해서ㅋㅋㅋㅋ
P0 	: 요샌 그냥 길냥이더라도 턱시도나 까만냥이 좋아
P1 	: 맹한 고양이 귀엽잖아
P1 	: 턱시도 좋지
P0 	: 턱시도 좋아ㅠㅠ
P0 	: 밤에 밟을까봐 겁나긴 하지만
P0 	: 귀여우면 됐다
P1 	: 설마 밟히겠어
P1 	: 얼마나 예민한데
P0 	: 고냥이가 행복하면 됐다
P0 	: 맹한 고양이라면......그럴 가능성 높지...
P0 	: 무시못해 그 맹함...
P1 	: 나는 고양이보단 개가 더 귀엽달까
P1 	: 고양이는 약간 무표정하잖아
P0 	: 무표정 사이의 미묘한 감정이 최고라구!
P0 	: 근데 개도 좋아
P0 	: 근데 개는 딱히 종은 상관없는거 같아
P1 	: 나는 오히려 개가 더 종 따지게 되는듯
P1 	: 물론 요즘 세상에 종 따지면 안되겠지만
P1 	: 고양이는 종 따라 외형만 조금 달라지는데 개는 너무 많은게 다름
P0 	: 그건 그렇네
P0 	: 하지만 케어할 자신이 있으면 나는 상관없는거 같아
P0 	: 내 취향은 장모종 친구들이지만 입양을 생각한다면
P0 	: 일단 보호소를 간 뒤에 나에게 마음 열어주는 친구를 찾지 않을까 싶음
P1 	: ㅇㅇ 여전히 큰 강아지 키우고 싶은 마음은 있다
P0 	: 맞아ㅋㅋㅋ
P0 	: 나도 대형견이 좋아
P1 	: 나는 고양이는 외형 상관없고 나한테 부대껴 주는 애면 다 좋을듯
P0 	: 여전히 리트리버와 허스키 못 잃어
P1 	: 나는 보더콜리도 키우고싶어졌는데
P0 	: 보더콜리?ㅋㅋㅋ따라갈 수 있어?
P1 	: 리트리버는 사냥개고 허스키는 썰매개고 보더콜리는 목양견이라
P0 	: 나는 못해...
P0 	: 난 못 해...
P1 	: 셋 다 운동랑 쩔어주는 개임
P1 	: ㅇㅇ 못할거같음ㅋㅋㅋㅋㅋ
P0 	: 나는 키우게되면
P0 	: 헬스장에서 근력운동 빠르게 끝내고
P0 	: 바로 집에 와서 개 데리고 뛰러나갈듯
P1 	: 마자 유산소 따로 할 필요 없은
P1 	: 개 데리고 산책하러 나가는 것이 바로 유산소
P0 	: 대형견이면 산책보단 누구하나는 끌려가지 않을까ㅋㅋㅋ
P0 	: 그게 내가 될진 걔가 될진
P0 	: 모르겠지만
P1 	: 개를 끌고 갈 자신이 있나봐?ㅋㅋㅋㅋㄱ
P0 	: 장거리면 내가 더 자신있어
P0 	: 근데 나는 단거리로 끝날거 같음ㅋㅋㅋㅋㅋㅋ
P0 	: 장거리하려다가도 아 에반데 걍 포기 할거 같음
P1 	: 두시간정도 뚜고 오면 개도 지치지 않을까
P1 	: 님이라면 할수 있다 아자아자
P0 	: 내가 업고 집에 가야하잖어
P1 	: ㅋㅋㅋㅋㅋㅋㄱ 개를 업고 집에 갈만큼 녹초를 만들 수 있다는 자신감이냐고
P1 	: 근데 진짜로 개랑 살면 건강해지긴 할듯
P1 	: 맨날 나가서 산책해야하니까
P0 	: 원래 꿈은 크게 가져야해
P0 	: 걔가 알고봤더니 체력거지면 어째
P1 	: ㅋㅋㅋㅋㄱㅋㅋ 니가 걔 체력을 키워야지 ㅋㅋㅋㄱ
P0 	: 비오는거 눈오는거 설득하다가 한나절 갈지도 몰라
P0 	: 안돼! 비오잖아! 보라고! 너 전에 감기도 걸렸잖아! 기억해 망충아!
P1 	: 강아지 키우고싶다
