# FILE DATA
ID : MDRW2100022645
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 여행

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 판매/영업 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 와.. 진짜 엄청나시네요..
P1 	: 전 이집트 궁금해서 구글어스에서
P1 	: 막 돌아댕겨봤는데..ㅋㅋㅋ 
	  피라미드앞에 낙타인형 파는 사람도 있고.. ㅋㅋ
P0 	: 낙타도 타봤어요 ㅎㅎ
P0 	: 말이랑 다른 점이 있더라구요
P0 	: 뒷발부터 일어나요
P1 	: 낙타도 탈 수 있어요? ㅋㅋㅋ 재밋엇겟다.. 
	  싱기하네요..  뒷발부터..
P1 	: 발길이는 같을거 같은데..
P0 	: 그래서 앞으로 고꾸라지지 안게 잘 타라고 가이드가 그러다라구요
P0 	: 낙타 타고 피라미드 주위 한바퀴 도는 상품이 있었어요..ㅎㅎ
P0 	: 간김에 타봤죠
P1 	: ㅋㅋㅋ 낙타하면.. 왠지 침흘릴거 같은 이미지..
P1 	: 낙타 말 보다 커요?
P0 	: 네.. 커요.. 침은 다행이 안흘리던데..ㅎㅎ
P1 	: 피라미드도
P1 	: 들어가.보.셧.나요?
P0 	: 네.. 피라미드 안쪽 관광도 했죠.. 신비스럽더군요
P1 	: 어떤 느낌이에요? 좁고 답답하고? 음침?
P0 	: 네 좁아요.. 좁고.. 관광상품으로 개발해서 그런지 음침은 아니었어요.. 조명이 있더라구요.. 전 폐소공포증은 없어서 답답하진 않았지만.. 어떤 사람들은 답답했을ㅇ 수도 있겠네요
P1 	: 카이로는 피라미드 말고 주로  어디가요?
P1 	: 맥도날드? ㅋㅋㅋ
P0 	: 기억이 가물가물 하네요.. 전 패키지로 가서 식당은 정해진 곳 갔었구요
P0 	: 기억나는건 나일강에서 배탄것도 기억나네요
P1 	: 와..  그건 첨들어봐요..
P1 	: 유럄선? 옛날배?
P0 	: 둘다요.. 일단 돗단배같은거 탔었고.. 나중에 저녁 식사 있던 유람선도 탔어요
P1 	: 선상디너.. 너무 아름답네요..
P1 	: 막 노래바람 날리고? ㅎㅎㅎ
