# FILE DATA
ID : MDRW2100011843
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 대전
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 그니까 첨에 간 헬스장이
P0 	: 예약하고 간건데 ㅋㅋㅋㅋ
P1 	: 어 어땠어?
P0 	: 1번이 상담 1도 안해주고 그냥 무슨
P0 	: 어린애가 알려주는데
P1 	: 야 거긴글렀따
P0 	: 트레이너랑 만나려면 돈을 다 지뷸하고나서
P0 	: 그때야 트레이너렁 상담을 ㅋㅋㅋ 한대 ㅋㅋ
P1 	: ? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ무슨 뚱딴지같은소리 ㅋㅋㅋㅋㅋㅋ
P0 	: 일단 가격도 회당 6.6만원인데 ;;
P1 	: 누가하냐 그럼 거기서 운동을 ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 개비쌈
P0 	: 그니까 거기서 누가하나 싶었어 진심
P1 	: 웃기는곳이네
P0 	: 그리고나서 건대에서 젤 큰데로 간거거든
P1 	: ㅇㅇㅇㅇㅇ거긴어때
P0 	: 근데 거기는 예약도 안하고갔는데
P0 	: 일단 각자 1명씩 트레이너 붙여서
P0 	: 상담하게해주고
P1 	: 좋다 벌써좋아
P0 	: 근데 헬트가 말을 일단 개잘하고
P0 	: 바로 인바디찓도
P0 	: 목표 바로 물어보도 그냥 아주 일사천리였어
P1 	: 아 나도거기다니고싶다 ㅋㅋㅋㅋㅋ
P0 	: 근데 단점이 헹스장 비용이 따로래
P0 	: 피티 비용이랑
P1 	: 엥????????피티받는데 ?
P1 	: 그런게어딧냐ㅠ
P0 	: 그래서 20회에 121만원에다가 헬스 20이면
P0 	: 141인데
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그런데가 잇더라고ㅜㅜ
P0 	: 여기가 그럴줄은 몰랐지만
P0 	: 그니까 3개월에 141인 셈이야
P1 	: 말이야 방구야~~ 피티하는데 따로 헬스장돈주는곳이어딧어
P1 	: 그럼 주2회야?
P0 	: ㅇㅇ다니면 주2 주3 상관은없는데
P0 	: 운동은 주6회 나오고
P0 	: 피티는 주2 일듯
P0 	: 식단 다 짜주고 매끼니 보내고
P1 	: 그래서 결제했어?
P0 	: 난 짜여진게 좋다햇는데 그럼 로봇이라고 생각하겠대
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아니
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아직 결제는 안함
P0 	: 걍 번호랑 이름 가져갔노
P0 	: 2회는 보너스
P1 	: 잘했네 생각더해봐
P0 	: 그래서 22회에
P1 	: 다른곳 없어?
P0 	: 22회에 121만원 + 헬스장 4개월 9~12월까지 20만원
P0 	: 이건데
P0 	: 다른 헬스장이... 없어
P0 	: 진짜 개.멀.어
P1 	: 마지막에 상담받은곳은 집이랑가깝다고햇나?
P0 	: 아니 그것도..아닌데
P0 	: 그냥 이정도면 참고 다닐만해
P1 	: 근데솔직히 샤워 집에서할텐데
P0 	: 4가지 없는
P1 	: 넌 거기서할거야?
P0 	: 1번을 제외하고
P0 	: 젤 가까워
P1 	: 그럼거진 확정이네
