# FILE DATA
ID : MDRW2100009283
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 강원
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 3회 이상

P0 	: 내일까진데
P0 	: 과제안했지
P0 	: 지금하는중
P0 	: 하하하하하
P1 	: 어쩐지 카톡이 무섭더라
P1 	: 우리 이제 일은 조금이라도 일찍 해보도록 하자
P1 	: 한 시간씩 늘리면 되지 않을까
P1 	: 트라이 트라이
P1 	: 구직활동을 위한 포폴 힘들지
P1 	: 디자인은 이래서 어려워
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 와 완전 f감성 풍부한 선생님 교훈같아
P0 	: 벌써 내일까지 한시간 남았군
P1 	: 긍정적인 사람인척 하자
P1 	: 그럼 언젠가 조금은 긍정적으로 되겠지
P1 	: 회사생활도 긍정적인척
P1 	: 업무도 잘 할 수 있는 척
P1 	: 작장이 좋은 척
P1 	: 직장이 좋은 척
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ아 오늘 명언터지죠
P0 	: 그래..인생 좋게좋게 생각하자
P0 	: 포폴 할수있다~~~
P1 	: 그럼그럼 취준이 어렵지
P1 	: 원래 어려운거야
P0 	: 어렵게 얻어야 값진법이지
P1 	: 나 이번에 사주 본 곳에서 회사에 대해 재미있은 말을 들었단 말이지
P1 	: 이게 진짜일까
P1 	: 근데 진짜 같기도 하고~
P0 	: 아 궁굼
P0 	: 언니한테 좋은말이야?
P1 	: ㅋㅋㅋㅋㅋ 이것도 또 언제말해~~~
P0 	: 아 빨리 취업해서 언니랑 얘기하고싶다
P0 	: 지금 포폴수업듣는중인데 ~~~아 피곤
P1 	: 나도 이젠 텐션이 도무지 안올라가
P1 	: 포폴을 회사에서 알한다고 생각하면서 하면 더 노잼이려나
P0 	: 걍 뭔들...진짜 디자인 재밌어하는 애들은 쫙쫙만들어오더라
P0 	: 나는 하기싫어 죽겄는데
