# FILE DATA
ID : MDRW2100024996
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 근데 그거 먹어본 사람들이
P0 	: 베트남엔 떡이 없으니까 먹는 거고 떡 있으면 떡이나 먹어라
P0 	: 라고 하던데요!
P1 	: 그런가요?? 또 어디선 완전 쫄깃한 식감이라서
P1 	: 맛있다고 하던데 ㅋㄱㅋㅋ
P1 	: 저도한번 해먹어볼까 했거든요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 약간
P1 	: 탄수화물이 맛없을리는 없으니
P0 	: 떡보다는
P0 	: 타피오카펄 그런 느낌인가봐요
P1 	: 아하
P0 	: 저는 그
P1 	: 전분같은 느낌의 쫄깃함인가
P0 	: 닭가.슴살을 라이스페이퍼로 싸서
P0 	: 튀겨먹는 거 해봤ㄴ느데
P0 	: 그건엄청맛있었어요
P1 	: 말만 들어도 맛있을거같은데용
P0 	: 그쳐
P0 	: 그 다이어트용으로 나왔지만
P0 	: 간이 다 된 닭가.슴살이었어요
P1 	: 오 그러면 딱 좋을거같아요
P1 	: 생으로 된거먹으면 퍽퍽하기만하고 그럴수있는데
P1 	: 요샌 다이어트용 닭가.슴살은 잘나와서
P0 	: 맞아요
P1 	: 맛도좋고 부드럽던데 튀기면 존맛일듯...
P0 	: 이게 진짜 다이어트용이맞나?
P0 	: 싶은 것도 많은 것 같아요
