# FILE DATA
ID : MDRW2100012728
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 좋아하는 영화는?ㅎㅎ
P0 	: 토토로 ㅋ
P0 	: 쌩뚱 맞죠 ㅋㅋ
P1 	: ㅎㅎㅎ 애니 토토로 맞죠?ㄹ
P0 	: 네네
P1 	: 가오나시는 안좋아하시나?ㅎㅎ
P0 	: 지브리랑 디즈니 팬에에여
P1 	: 근데 저도 좋아해여ㅎ 애니ㅎㅎ
P0 	: 좋아하죠
P1 	: 드래곤 길들이기도 좋고
P0 	: 센과 치히로의 모험 ㅋ
P1 	: 맞아요ㅎㅎㅎ
P1 	: 좋아해요ㅎㅎ
P1 	: 그 뭐지... 채색이라그러나요?
P1 	: 색채?
P1 	: 암튼 그게 너무 좋아서 극장판은 꼭챙겨봐요ㅎ
P0 	: 저두요 ㅎㅎ
P0 	: 하울이.멋있긴 햿어요 ㅎㅎ
P1 	: 암요ㅎㅎ 멋있죠ㅎㅎ
P1 	: 누가보면 오타쿤줄 아는데...
P0 	: 제가 지브리랑 디즈니 좋아하는 이유가
P1 	: 그건 잘몰라서그러는거고ㅎㅎ
P0 	: 일단 ost가 ㅎㅎㅎ
P0 	: 토토로 주제가는  지금도 안잊어먹고 불러요 ㅋㅋ
P0 	: 산보 라는 곡 있거든요
P1 	: 네네ㅎㅎㅎ
P1 	: 너무죻죠ㅎㅎ
P0 	: &name2&은 어떤 영화 좋아해요?
P1 	: 전 다 좋아해요ㅎㅎ
P1 	: 멜로도 좋아하고
P1 	: 액션도좋아하고
P1 	: sf도 좋아하고 히어로도좋아하고...
P1 	: 좋아하는게 너무 많네요ㅎㅎㅎㅎ
P1 	: 애니도 좋아하고ㅎ
P0 	: 하나 고르라 하면요 ㅎㅎ
P1 	: 전 아무래도 찐한 사랑이야기가 좋아요ㅎㅎ
P1 	: 내머리속의 지우개처럼ㅎ
P1 	: 사랑하는사람을 위해선 뭐든 할 수있는 그런 장르?ㅎ
P0 	: 오  헌신적인 사랑 ㅎㅎ
P0 	: 노트북 ㅎㅎㅎ도 비슷하겟네요 ㅎㅎ
P1 	: 네네ㅎㅎ 그것도 너무좋아해요ㅎ
P1 	: 이프온리ㅎ
P1 	: 다 좋아하니깐뭐ㅎㅎ 제가 심한 집돌이라ㅎㅎ
P1 	: 일 집 일 집ㅎㅎㅎ 누가 만약에 내 조사하면 아무것도 안나올꺼애요ㅎ
P1 	: 애니말고 무슨장르좋아하세요?
P0 	: 헐 ㅋㅋㅋㅋ 먼지가 없음 ㅋ
P0 	: 음 전 저도 다좋아하는거 같아요
P0 	: 좀비물은 좀  ㅎㅎ
P0 	: 아직은 안친해요
P1 	: 저도 안친해요ㅎ 근데 유명한건 봐요ㅎㅎ 킹덤ㅎ
P0 	: 킹덤도 무셔서 못봣어여 ㅎㅎㅎ
P1 	: 어릴땐 영화진짜많이 봤는데ㅎㅎ
P1 	: 무섭긴해요ㅎㅎ
P1 	: 무서운영화 잘안보시죠?
P0 	: 아뇨 그건또 아닌뎅 ㅋ
