# FILE DATA
ID : MDRW2100021144
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 아 ㅇㅈ
P1 	: 그거 진심
P0 	: 디지털성범죄
P0 	: 시작은
P0 	: 진심오래됐다니까
P0 	: 그런걸 보고 자라니까
P0 	: 이상한걸 못 느끼지
P1 	: 그니까
P1 	: 아니
P1 	: 그게 진심 역겨움
P1 	: 몰래 훔쳐보고 옷을 갈취해 간다음
P1 	: 애를 낳으면 못 도망갈테니까
P0 	: ㅇㅇㅇ그니까
P0 	: 여자를어떻게생각하고
P1 	: 애를 낳게 한다는
P0 	: 그전래동화를썼는지
P1 	: 그 발상이 진심
P1 	: 그니까
P1 	: 너무 투명하게 보임
P0 	: 아직까지그동화가
P0 	: 메이저라는게참
P1 	: 그거하고
P1 	: 서동요
P0 	: 아
P0 	: 진심
P0 	: 서동요도대체왜
P0 	: 학교에서가르치는거임,
P0 	: ?
P0 	: 페미니즘이런거
P0 	: 하나도모를때도이상했음
P1 	: 그니까
P1 	: 아니
P0 	: ㄱ소문으로한여자삶을
P0 	: 무너뜨린게자랑인가,
P0 	: ?
P0 	: 그것도더러운소문으로
P1 	: 멀쩡하게 잘 살던 왕족이 평민인지 노비일지 모를 사람이 퍼뜨린 소문 때문에 쫓겨 난다는 것도 이상함
P0 	: 맞아 그것도 진짜
P1 	: 계급사회에서 왕족을 그렇게 만든다는게
P1 	: 왕자였어보ㅓ
P0 	: 여자는아무리계급이
P0 	: 늎아조
P1 	: 첩으로 들이지
P0 	: 그니까
P1 	: ㅇㅇㅇ
P1 	: 으 진심
P0 	: 근데그얘기도있아
