# FILE DATA
ID : MDRW2100030633
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 키워드들 중에서 좋아하는 것이 있나요?
P1 	: 넷플 보세용 ?
P1 	: 요즘 디피  체인지데이즈 돌싱글즈 바요
P1 	: 슬의
P0 	: 슬의는 보고 있어요
P1 	: 넷플 구독하시나요
P0 	: 슬의를 요새 즐겨보고 있어요 ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋ 재밋죠
P0 	: 아니요 최근에는 안하고 있어요
P1 	: 누구조아하세요
P0 	: 저는 정경호 배우님이 맡으신 캐릭터가 좋아요
P0 	: 익준이도 보면 즐겁구요 ㅋㅋㅋ
P1 	: 마자요 저도 정경호 !!ㅋㅋㅋ
P1 	: 조정석은 만능인듯 정말
P0 	: 이번에 나온 회상 들어보셨나요?
P0 	: 그러니까요 ㅋㅋㅋ
P1 	: 아직요
P0 	: 노래 너무 좋아요 추천해요 ㅋㅋ
P1 	: 앗 들어볼게요 ㅋㅋㅋ
P0 	: 송화가 노래 못부르는거로 나오지만
P0 	: 사실 굉장히 잘 부르는 배우님이라
P1 	: 아 ㅋㅋ 뮤배라면서요
P0 	: 이 부분도 웃음 포인트인것 같어요
P0 	: 맞아요 ㅋㅋㅋ 전미도 배우님 ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋ 진짜
P1 	: 배우들 잼쓸거같아요
P0 	: 사실 저 밴드 멤버중에서 정경호 배우님 빼고 나머지 분등은
P0 	: 전부 뮤지컬을 해본 경험이 있는 분들이라고 해서
P0 	: 놀랬어요
P1 	: 아 헐 그 곰 분도 그러시구나
P0 	: 배우들끼리 있는 비하인드 찾아보면 재미있더라구요 ㅋㅋㅋ
P0 	: 곰 ㅋㅋㅋㅋ
P0 	: 맞아요 석형이 역할 맡은 분도 하셨었다고 봤어요
