# FILE DATA
ID : MDRW2100004468
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : PC(데스크탑/노트북)
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요 학교생활어떠세요
P1 	: 교수님께서 매주 과제를 주셔서 너무 힘들어요
P0 	: 안타깝네요...
P1 	: 교수님도 과제를 해봤으면 좋겠어요.
P0 	: 저는 졸업해서ㅎㅎ그냥 인생이 아름다운데ㅎㅎ
P0 	: 언제 졸업해요?
P1 	: 내년 2월에 졸업하고 싶은데 수강신청부터 아슬아슬해요.
P0 	: 아...저런.....맘이 아프네요^^~~~혹시 무슨 전공인지 물어도 될까요?
P1 	: 게임 그래픽 관련한 전공이에요.
P1 	: &name1&님은 무슨 전공인가요?
P0 	: 저는 임산공학전공이였는데 너무 싫어서 부전공으로 탈주했엇어요
P1 	: 부전공은 뭐였는지 물어봐도 되나요?
P0 	: 안돼요
P1 	: 오징어먹물연구학과였나요?
P0 	: 사탄숭배학과
P1 	: 두번째는 제가 보낸 게 아니예요
P1 	: ai가 저를 조종하고있어요
P1 	: 사탄은 나쁜 말이 아니에요
P0 	: 거짓말하지마요
P0 	: 저는사실 처음에 당신을 조롱했답니다
P1 	: 학업 스트레스를 받을 때 사탄님을 의지하며 견뎌왔어요
P0 	: 사탄블레스유
P1 	: 나쁜말x9999
P0 	: 근데 미대들은 졸업할때 졸작전시하잖아요
P0 	: &name2&님은
P0 	: 겜만들어서 체험하게해요??
P1 	: 네
P1 	: 원래 지스타에 전시하는데
P1 	: 코로나때문에 취소돼서
P1 	: 온라인 전시해요
P0 	: 대박
P0 	: 완전 창작가
