# FILE DATA
ID : MDRW2100007413
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 좋아 하는 거 있엉? 맛있는거
P1 	: 나는 먹는 거 진짜 좋아해
P1 	: 닉네임도 음식이잖아
P0 	: 헐
P0 	: 그렇구낰ㅋㅋㅋ
P1 	: 안 좋아하는 거 찾는 게 빠를걸
P0 	: 오
P0 	: 홍어
P0 	: 는??
P1 	: 홍어는...찾아먹지는 않고 있으면 먹긴해
P1 	: 너무 삭힌거는 못 먹어
P0 	: 나 홍어 완전 좋아하는데 ㅠ 먹어줄 사람이 너무 없엉 결국 명절마다 부모님이랑 먹는다 ㅎㅎㅠ
P0 	: 다른 좋아하는 건 뭐 있어? 
P1 	: 음식중에?
P1 	: 흔히 말하는 소울푸드는 김치찌개야
P1 	: 명절에 홍어 먹는 거면 내 고향이랑 비슷한 지역일수도 있겠다ㅎㅎ
P0 	: 김치찌개는 확실히 엄마가 끓여준게 넘 맛있어
P0 	: 엇 우리집 홍어는 명절이라서가 아니라 걍 기호 식품이라큐ㅠㅠㅠ 아마 아닐수도 ㅎㅎ
P1 	: 아 그렇구낭ㅋㅋㅋㅋ 난 그쪽 지역 출신이라 잔치? 그런날마다 항상 보거든ㅋㅋㅋㅋ
P1 	: 맞아 김치찌개는 진짜 아무리 맛있다는 데서 먹어봐도 엄마가 끓여준 게 더 맛있음
P0 	: 넘 좋,,겠다,,, 홍어 있는 명절 너무 부러운 부분ㅋㅋ
P0 	: 그치ㅋㅋㅋㅋ 어릴때부터 먹는거라 그런가 ㅋㅋㅋㅋ
P0 	: 입맛이 엄마 손맛 따라가나봐 ㅋㅋ
P1 	: 맞아 딱 그거야 엄마 손맛이 내입맛에 딱임ㅋㅋ
P1 	: 또 남들이 안 좋아하는 것 중에 좋아하는 거 있어?
P0 	: 뭐가 있을까 ㅋㅋ
P0 	: 나 생각보다 호불호 생각 안하고 사나봐 ㅋㅋㅋㅋ
P0 	: 싫어하는 건 견과류랑 깻잎인듯! 너무 싫어
P1 	: 와 나는 견과류는 너무 좋아해
P1 	: 깻잎이 들어간 거는 다 싫어?
P1 	: 참치김밥도?
P0 	: 헛 완전 내 헛점이야 ㅋㅋㅋ
P0 	: 참치김밥 걘 애정으로 봐줄 수 있엉 ㅋㅋㅋ
P0 	: 그외에 반찬이나 쌈으로는 안건드는거 같아 ㅎ 헛점 걸려버렸당
P1 	: 나 그거 뭔지 알아ㅋㅋㅋ
P1 	: 싫어하는 거 들어있는데도 먹을 수 있는 거 있잖아
P0 	: 맞앜ㅋㅋㅌ깻잎 무시 할 수 있당 ㅋㅋ
