# FILE DATA
ID : MDRW2100038824
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 추천해주실만한 밀면집이나 맛집 있으신가요 ㅋㅋㅋㅋ
P1 	: 네
P1 	: 지방은 좀 안 심하니까
P1 	: 수도권의 바이러스를 데리고가면 민폐지 않나 싶어서요 ㅋㅋ
P1 	: 부산도 지금 2명이상 못 만나나요?
P0 	: 저녁에그런걸로알고있는데
	  이제자꾸무뎌지는거같아요그런소식에..jnj  
	  친구들끼리안만나기도하고ㅋㅋㅋㅋㅋ
P0 	: 국제밀면 초량밀면 가야밀면 동래밀면 다괜찮습니다ㅋㅋㅈㄱㅈㄱㄷㄱㄷㅋㄷㄱㄷㄱ
P0 	: 객관성이떨어져보이네요
P0 	: .ㅈㅋㅋㄱㅋㄱ
P0 	: 아 동래밀면가보면
P0 	: bts앉은자리있어요
P0 	: ㄱㅋㅈㄱㅈㄱㅈㄱㅈㄱㅈㄱㅈㄱㅈㄱㄷㄱ
P0 	: 볼때마다웃깁니다..
P1 	: 오 고급정보내요 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 유명 연예인 앉은 자리 ㅋㅋㅋㅋ 한 번 꼭 구경해보겠습니다
P1 	: 사회적 거리두기 때문에 친구들 못 만난지 너무 오래됐어요ㅠ
P1 	: 여행 계횟 몇 번이나 빵꾸났는지ㅠ
P1 	: 원래 호캉스도 가기로 했는데 3명이상이라 ㅋㅋㅋㅋ 강제로 취소당했어요
P0 	: 악ㅠㅡㅠ 이런..
	  코로나증말 언제없어지죠..저도 콘서트볼겸 서울가야하는데ㅠㅁㅠ...!!!!!!
P1 	: ㅠㅠㅠㅠ 요즘은 콘서트두 안 하잖아요ㅠ
P1 	: 에휴
P0 	: 네..아무것도안해요증말...
P1 	: 이해는 하지만 갈수록 좀 답답해지는 건 사실이에요 ㅋㅋㅋㅋ
P1 	: 제가 그나마 집순이 타입이니까 괜찮은거지
P1 	: 밖에 다니기 좋아하는 성격이었으면 못견뎠을 것 같아요
P0 	: 저도요ㅋㅋㅋ집순이라그나마이정도지..
	  
	  집순이인 제가 나가고싶다는 생각이 들 정도니 말다했죠..ㅋㅋㅋ
P0 	: 이제뭐 위드코로나? 라고 그런말도나온다는데
P0 	: 개...뿔..
P1 	: 하 맞아요
P1 	: 위드코로나라니 끔찍
P1 	: 요즘은 근데 진짜 코로나 걸리는 거 랜덤게임 같단 생각도 들어요ㅜ 재수좋으면 안 걸리고
P0 	: 그러니까요 랜덤같은느낌이들고..
	  재난문자와도 놀랍지않구..ㅜㅜ
P1 	: 맞아요 ㅋㅋㅋ 재난문자 그냥 약간 확진자수 카운팅하는 느낌이에요 ㅋㅋ
P1 	: 원래대로면 이번 추석에 간단하게 어디라도 갔을텐데 올해는 그것도 못 하겠네요
P0 	: 저는 친척들도 좀 안모였음 싶은데 왠지 모일거같아요..흑흑
P1 	: 저희는 안 모인지 꽤 됐어요 ㅋㅋㅋ 그래서 주로 가족들이렁 여행가거나.. 친구들이랑 놀러가거나 했어요
