# FILE DATA
ID : MDRW2100011467
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 기타 사회 생활 및 활동>동호회/봉사 단체

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전북
principal_residence : 대전
current_residence : 세종
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기술직 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 동호회나 봉사 단체가 가입하신 적 있으신가요?
P1 	: 아니요 그런거 취미가없어서ㅎ
P1 	: 집순이라
P1 	: &name1&님은요?
P0 	: 저도 집순이라 취미는 아닌데
P0 	: 학교에서 봉사시간 채워야해서 하거나 동아리를 들거나
P0 	: 제가 속해있는 단체가 봉사 추천하거나 하면 하게되더라고요
P1 	: 봉사에 관심이 많으시군요
P1 	: 요즘 코로나라 봉사하기쉽지않겠어요
P0 	: 맞아요 봉사자리가 많지는 안ㄹ더라구요
P0 	: 봉사는 하라고 해서 한게 대부분이지만
P0 	: 결과만 보면 어느쪽에도 손해간게 없으니까 좋았던 것같아요
P1 	: 다른 봉사는 안해봐서 ~
P1 	: 봉사말고 동호회는 안하세요?
P0 	: 동호회는 잘 찾아보지 않아서 안해봤어요
P0 	: &name2&님은 해보셨나요?
P1 	: 아뇨 저도 특별히 모임활동은 안해봤어요
P1 	: 대학동기 모임이나 연중행사로 가끔
P0 	: 아아ㅏ 전 가보지 않아서 모르는데
P0 	: 가면 그냥 노는건가요? 친한 사람들끼리 모여서??
P1 	: 그냥 올만에 친구만나듯 친목모임이죠^^
P1 	: 밥먹고 술마시고 수다떨고
P0 	: 오랜만에 만나면 즐거울 것같아요
P0 	: 전 아직 안해봐서 흥미롭게 들리네요ㅎㅎ
P1 	: 친목 모임은 목적이 없으니 ㅋ 그냥먹고 즐겁게 노는게다죠
P0 	: 저도 나중에 해보고 싶어요ㅋㅋ
P0 	: 지금은 코로나땜에 많은 사람들이 모이기가 힘드니까ㅠ
P1 	: 취미있으심 그런걸로 해도 좋을것같아요
