# FILE DATA
ID : MDRW2100033185
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 전북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 충북
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  3
contact_frequency  :  주 1~2회

P1 	: 연애 안 하는데 큰일이네요
P0 	: 그러게요
P0 	: 하고싶은 욕심은 많은데!
P0 	: 재현아 어디서 뭐하니
P1 	: 욕심은 저도 많아요
P1 	: 아ㅋㅋㅋㅋㅋㅋㅈ
P1 	: 재현아..
P0 	: &name2&님한테 고백하지않고
P1 	: 니가 잘못이 크다
P0 	: 맞아요
P0 	: 고백도 안하고
P1 	: 근데 제가 안 받앗을걸요..
P0 	: 엩
P0 	: 그그럼
P0 	: 키링연애를...
P1 	: 니가 나랑 무슨 연애를한다고그래!!! 그냥 우리.. 이대로 살자고.. 응?
P1 	: 마음에 안들어하겟지만요..
P0 	: 저는 와장창광흥창 연애를 하고싶어요
P0 	: 우당탕탕 광흥창 하고
P0 	: 맨날 설거지 하다가 빡쳐서 접시 깨먹는....
P1 	: 유치찬란 연애 한번 해보고싶어요
P0 	: 앗
P0 	: 재밌겠당
P1 	: 집앞에서 울고불고 싸우고
P1 	: 재밌겠다..
P0 	: 재밌겠다....
P0 	: 근데 전 솔직히 왜그러는지 모르겠는데
P0 	: 저는....... 재민이랑 연애를.......
P0 	: 하거싶은걸까?
P0 	: 잘 모르겠어용
P1 	: 으음..
P1 	: 친구를 원하는거 아닐까요
P0 	: 그런걸까!
P1 	: 예시에 이상형이 있네요 저는 도경수인데
P0 	: 근데 제가 좋아하는 사람이 생겨서 그럴수도
P1 	: 그런가요
P0 	: 저는......
P0 	: 제 이상형은...
P1 	: 좋아하는사람이라니..
P0 	: 뭐지
P0 	: 귀여운 사람이 좋습니다
P1 	: 저도요
P1 	: 강아지같이 귀여운 사람이 좋아요..
P0 	: 그렇군용
P1 	: 리트리버같은 칭구들..
