# FILE DATA
ID : MDRW2100026560
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 층마다 정수기 하나씩 있잖아요
P0 	: ㅇㅇㅇㅇㅇ
P1 	: 1학년인지 2학년인지 기억은 안나는제
P0 	: 설마 그 유명한썰인가
P1 	: 누가 컵 안쓰고 입대고 물마시고있는거임
P1 	: ??
P0 	: 아니넼
P1 	: 제 실화
P0 	: ㅋㅋㅋㅋㅋㅋ
P0 	: ㅇㅇㅇㅇ
P1 	: 고개 옆으로 확 돌려서 반쯤 눕다시피해서
P0 	: 뭔말알
P1 	: 물 마시길래 엉덩이 냅다 걷어찼는데
P1 	: 선배였음
P1 	: 죄송합니다 하고 팀
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 우리땐 이런 장난 잘 쳤었는데
P1 	: 하필 선배여가지고 긴장함
P0 	: 와클남우리는
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 상상초월이다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 많은썰중에하나
P0 	: 풀어드림
P1 	: ㅇㅋㅇㅋ
P0 	: 고등어필통알아요?
P1 	: 아 알죠
P0 	: 고등어모양필통
P1 	: ㅇㅇ
P0 	: 저녁먹고 친구랑 학교산책하는데
P1 	: 좀 푹신풋신란
P0 	: 학교뒷편에 그게떨어져잇는거임
P0 	: 그래서그걸주웟는데
P0 	: 그옆에 누가 공책하나 놓고
P0 	: 떨어뜨렷다고 가져가지말라고 ㅋㅋㅋ
P0 	: 근데 전그런거못참
P0 	: 볼펜은없고 쓸껀 틴트밖에없어서
P1 	: ???
P1 	: 공책하나 놓고 가져가지말라?
P0 	: 아
P0 	: 공책에다가
P0 	: 가져가지말라고써놧엇음
P0 	: 바로옆에 ㅇㅇ
P1 	: 아아
P0 	: 필통바로옆에 이해?
P1 	: ㅇㅇㅇㅇ
P0 	: 볼펜도없고 가진건 틴트뿐이여서
P0 	: 틴트로 ㅈ,ㅅ 써놓고
