# FILE DATA
ID : MDRW2100026004
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 경영/관리직
sex : 여성
birthplace : 부산
principal_residence : 서울
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 머리안한지
P1 	: 오래됐지?
P0 	: ㅇㅇ 나 한 3개월전에 머리자른게 다여 ㅋㅋㅋ
P0 	: 한 2년? 2년 반동안 머리 자르는거 말곤 안했다
P1 	: 대박ㅋㅋㅋ 너염색
P1 	: 해본적도 까마득하지않니
P0 	: 염색은...나 22살인가 그때 함 하고
P0 	: 한번도 안했음 ㅋㅋㅋㅋ
P0 	: ㅡ염색은 하고나면 머리 자라나는거 지저분해서
P1 	: 오 너도 머릿결잘상하나보네
P0 	: 글타고 뿌염하긴 귀찮고 돈도 들어서 할 생각이 잘 안듬
P0 	: ㄴㄴ 머릿결 문제는 아니고 걍 관리 귀찮아서 ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ나는 소심하게 갈색으로 몇번하고
P1 	: 아놔
P1 	: 머리숱줄고
P1 	: 그래서
P0 	: 나는 그때 거의 red 였어 ㅋㅋㅋㅋ
P0 	: 적갈색 하여도 한거였는데
P0 	: 모발이 얇아서 색이 너무 잘 드는 바람에
P1 	: 어어ㅋㅋㅋ
P0 	: red 됨
P1 	: 막 요새는 뭔스타일링하고싶다
P0 	: 나는 날 시원해지면
P1 	: 이런생각도잘안들고 걍편한게장땡
P1 	: 이러고사는듯
P0 	: 머리 단발하고 c컬하거나 볼륨펌 하려고
P1 	: 오 그렇지
P1 	: 가을엔 펌이지
P1 	: 사진모아두고하니
P0 	: 아니 닥치면 부랴부랴 ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ 난몇달동안모으고
P1 	: 결국 편한머리만함
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ 그래도 모으다니 부지런하네
P0 	: 좋은거 있음 공유좀
P1 	: 그래ㅋㅋㅋ단발펌 엄청모았는데
