# FILE DATA
ID : MDRW2100029160
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 신라호텔 더 파크뷰라는 식당이야...
P1 	: 앜 찾아볼게 어제 저녁에 그대로 뻗었ㅇ
P1 	: 12만.... 맛만 보장된다면...함....ㄱ.....?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 집에서
P0 	: 락앤락 들고와 쓸어담아가게(?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 락앤락ㅋㅋㅋㅋㅋ 냉장고에 넣어둬야겠네(대체
P0 	: 근데 진짜
P0 	: 메인은 고기에 기름진게 많아서
P0 	: 보통 메인먹느라 디저트까지 먹을 여력이 안되거든?
P0 	: 근데 여기는 디저트가 찐이야
P0 	: 옛날에 가족이랑 갔을때
P0 	: 디저트만 락앤락 두개 싸왔어(?
P1 	: ㄷㄷㄷㄷ 좋아좋아... 락앤락.. 여행가방을 크게 가져가야겠군()
P1 	: 캐리어 끌고갈게(대체
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 중고나라에 유효기간 임박한 식사권 파는데
P0 	: 사기가 많나보네..
P0 	: 여행 한 번 가기 힘들다..
P1 	: ㄷㄷㄷ 일부러 임박한 거 파는구나 진짜 여행가기 힘들게...
P1 	: 안그래도 못가는 중에 식사가지고 장난치면 어케...
P0 	: 아냐 기한 임박한거 파는거는
P0 	: 기한 임박했는데 자기는 못가고
P0 	: 시간 지나면 아예 환불 안되니까 저렴하게 파는건데
P1 	: ㅇㅎ
P0 	: 못받았다는 사람이 많네
P1 	: 뭐야...
P0 	: 이럴땐 당근마켓 직거래를 찾아봐야지(?
P1 	: 사람이 정직하게 살아야지..
P1 	: 앜ㅋㅋㅋㅋㅋㅋ
P1 	: 당근마켓도 수도권이 더 유리할거 같어..
P1 	: 지방엔 파는게 없어!(?)
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 서울로 여행와서
P0 	: 서울의 당근마켓을 즐겨봐(?
