# FILE DATA
ID : MDRW2100026474
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 맞아여..
P1 	: 저희도 그래요
P1 	: 근데 그마음을 아니까
P1 	: 잡을 수도 없어요ㅎㅎ
P0 	: 전 못잡죠
P0 	: 더 좋은데 가라고
P0 	: 응원해줄쀼
P0 	: 뿐
P1 	: 맞아요... 나가서 잘되면 다 좋을 뿐..
P1 	: 하다못해 저조차도 퇴사각을 재고 있는뎈ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 회사는 집하고 가까우세요?
P1 	: 다행히도 그렇네요..
P1 	: 집ㅁ가지 멀었으면 더 최악일 뻔 했어요
P0 	: 전
P0 	: 집도 멀답니다
P0 	: 하아ㅜㅜ
P1 	: 헉.. 얼마정도 걸리시나요
P0 	: 차로 한시간
P0 	: 지하철 두시간 ㅋㅋㅋㅋㅋㅋ
P0 	: 차로 출퇴근합니다
P1 	: 와...
P1 	: 둘 다 너무 빡세네요
P1 	: 이미 출퇴근 시간만해도 하루에 두시간인데...
P1 	: 안힘드시나요ㅠ
P0 	: 힘들죠
P0 	: 참 뭘 위해서 이렇게 일하는지
P0 	: 얼마나 잘살겠다고
P1 	: 그러니가요..
P1 	: 이렇게 돈벌면 통장에 돈이 눈덩이 처럼 불어난다면 하겠는데..
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그럴리가....
P0 	: ㅜㅜ
P1 	: 맞죠ㅠㅠ
P0 	: 백신맞고도 담날 일하는....
P1 	: 월급쟁이의 서러움이란...
P1 	: 와....
P1 	: 부작용은 없으샸어요??
P0 	: 1차만 맞았는데
P0 	: 열한번나고 별거 없긴했어요
P1 	: 열 심하게 안나셨나요..?
P0 	: 네 1차라 그런가봐요
P0 	: 다행히 백신 강요는 안하더라구요?
P0 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 사장이 물어보길래 강요하는줄....
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 백신까지 강요당하면...
P0 	: 저 그럼 진짜
P0 	: 고용노동부에 신고할거에요
P1 	: 앜ㅋㅋㅋㅋ
P1 	: 좋은 생각이에요
P1 	: 사장님들안 근데 신경 많이 쓸까요?
P1 	: 저희 회사는 신경 안쓰던데...
P0 	: 저희회사 누가 신고해서
P1 	: 신고당해도 바뀌는게 없어..
P0 	: 실제로 사람들 쳐들어왔었거든요
P0 	: 근데 달라지는게 없더라구요?
P0 	: 한번 더 당해봐야되나
P1 	: ㅋㅋㅋㅋㅋㅋ그러니까요...
P1 	: 안달라지더라구요
