# FILE DATA
ID : MDRW2100039434
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 배드민턴 좋제잉 나도 좋아해
P0 	: 넌 건강해지면 따로하고 싶은 운동있니
P0 	: 같이 배드민턴치면 짱재밌겠다
P1 	: 너랑 같이 배드민턴 칠래ㅋㅋㅋㅋ
P1 	: 헉 통했다
P0 	: 그러게 운동취향 비슷해서 다행이다
P1 	: 배드민턴도 좋고 주짓수도 배우고 싶어
P1 	: 넌 주짓수 배워봤어?
P0 	: 아니 내친구가
P0 	: 주짓수 잘못 배웠다가
P1 	: 응
P0 	: 팔부러져서
P0 	: 좀 무섭더라고
P1 	: 어???!?!
P0 	: 제대로 하는곳 아니면 안가려고
P1 	: 세상에 어떻게 가르치면 팔이 부러져
P0 	: 내말이 운동도 제대로 가르치는곳에 가야지
P0 	: 잘못 배우면 건강하긴 커녕
P1 	: 진짜 제대로 안전하게 가르치는 데 가야겠다
P1 	: 그러게 건강하려다가 몸 망치겠네
P1 	: 피티는 잘 가르치니?
P0 	: 그러니까말이여
P0 	: 관장이 땍땍대서 그렇지
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 운동은 잘가르쳐
P1 	: 땍땍대다니 어떻기 말하길래
P0 	: 좀 불평이 많은 스타일이라
P0 	: 운동할때 잔소리가 심해
P1 	: 오..저런
P1 	: 깐깐징어야?
P0 	: 그래도 베테랑이라 자세가르쳐줄땐
P0 	: 돈이 좋긴좋더라
