# FILE DATA
ID : MDRW2100017132
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: ㅋㅋㅋ 예전에
P0 	: 해본건
P0 	: 가벼운 필테정도?!
P1 	: 오 ㅋㅋ 매트에서 하는거요?
P0 	: ㅋㅋㅋ 네네ㅋㅋㅋ
P0 	: 그나마 그걸하죠ㅠ
P1 	: 필테도 좋은것 같던데 ! ㅋㅋㅋ 검도같이 매일하는 체육관 같은데는 좀 더 꾸준히 나가게되는거같아서 좋은거같아요 제가 게을러서 ㅋㅋㅋ
P0 	: 진짜뭔가ㅋㅋㅋ 지금은 필테보다 검도가 꽂혀요
P0 	: 근력도 키워지나요?
P1 	: 네네네 ㅋㅋ 근력 ...집중력
P1 	: 전신운동같아요
P0 	: ㅋㅋㅋ 체력거지도
P0 	: 가능할까요
P1 	: 첨엔 힘들수 있겠지만... ! 충분해요 ㅋㅋㅋ
P1 	: 자신감 가지세요!!
P1 	: 하다보면 조금씩 되는것같아요
P0 	: ㅋㅋㅋ 제가진짜 체력이없거든요
P0 	: 운동장한바퀴면 힘들답니다
P1 	: ㅋㅋㅋㅋ 그거도 하면 늘더라구요 !!! 저 달리기도 30초도 힘들엇는데 하다보니 30분 뛰었습니다
P0 	: 와
P0 	: 진짜요??
P0 	: 그정도로느나요?
P1 	: 네네 그럼요 달리기 늘고싶으면 런데이어플 추천해요 도전 코스가 있는데 이게돼?하다가 진짜  되게돼욬ㅋㅋ
P1 	: 저 심폐지구력 엄청엄청 많이늘었어요
P1 	: 달리기 쩌리였는데 ...오래쉬어서 30분 달리기 다시하려면 연습 더 해야겠지만 그래도 전보단 훨 잘뜀 ...5분 정도는 언제든 무리없이 가능
P0 	: 와우 런데이어플알죠!!!
P0 	: 얼마만에
P0 	: 그정도가되셨나요??
P0 	: 달리기시작하구요
P1 	: 그게 8주코스인데요 1주일에 3번씩 ,  꾸준히했으면 2달만에 했을텐데 전 중간에 너무많이쉬어서 1년? ㅋㅋㅋ근데 그게 프로그램 코스가 총 24번인데 횟수로 따지면 30번 안에 됐어용 . 12번 코스에서 멈추고 두달 쉬면 13번
P1 	: 전 진짜 ㅋㅋㅋ 중간에 몇달씩 안햇어요ㅠ 아무리못하는 사람도 일주 세번 하면 세달에 30분안쉬고달리기 가능할듯요
P0 	: 와우.....
P0 	: 진짜 엇ㅇ청...체계적이네요...
P0 	: 주3이라...
P0 	: 제가 가능할카요?
P1 	: ㅋㅋㅋㅋ 걍 런데이 아저씨 말 들으면서...좀씩 뛰면도ㅐ용ㅋㅋㅋ 천천히
P1 	: 주3 안해두되고 ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ 그거
P0 	: 걷는기능도있죠??!
P0 	: 들어본것같아요!
