# FILE DATA
ID : MDRW2100033317
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 전문가 및 관련 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 경영/관리직
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 경남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오 무슨겜하세요?
P0 	: 모바일게임이지요ㅋ
P0 	: 뭐 딱히 자주 드려다 볼 시간이없어서
P0 	: 단순한 게임하곤 합니다.
P0 	: 쿠키런 킹덤?
	  했네요ㅋ
P1 	: ㅋ저도 에져ㆍ 롤 뿐ㅋ
P1 	: 달리기요?
P0 	: 달리기는 달리기인데 무슨 이상한 쿠키도 뽑고 신기한 게임이요
P0 	: 조카가 하자해서 했다가
	  요즘은 접었어요ㅋ
P0 	: 폰으로 넷플릭스 미드 or 영드봅니다ㅋ
P1 	: 오~~ 그 퍼즐마추기(?)
P1 	: 애니팡(?)
P0 	: 아ㅋㅋ그거 재밋지요
P0 	: 요즘도 있나 모르겠네요
P0 	: 제 주 게임은 온라인 테트리스였는데
P0 	: 요즘은 없던데요...ㅋ
P1 	: 아 오락실 테트리스ㅋ
P1 	: 한게임인가 거기서도 좀했어요
P0 	: 저도.. ㅋ한게임인지 넷마블인지..
P0 	: 오락실은 펌프지요ㅋ
P0 	: 아 철권도..
P1 	: 아 디디알ㅋ
P0 	: 디디알...
	  버터플라이ㅋ
P1 	: 아이야이야이두박두산
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
	  아 진짜 음성지원인가요
P0 	: 글자에서 노래가 느껴지네요
P1 	: ^^2인 더블노했죠 ^^
P1 	: 신나는 펌프~
