# FILE DATA
ID : MDRW2100047375
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아 올초에
P1 	: 갑자기 인생의 회전목마 듣다
P1 	: 그 드라마 생각나서 봤어요
P1 	: 김현주 지진희
P1 	: 애인 있어요
P0 	: 처음듣는 드라마인데..  아마 저는 배우 가려서 보느라
P0 	: 못봤을수도 있을것같네요ㅋㅋ
	   김현주를 안좋아해서요ㅜㅡㅜ
P1 	: 오 김현주 전 좋아해요
P1 	: 지진희 후회남요
P1 	: 노래들으며 우는장면이 ㅜㅜ생각나서 다시 봤네요
P1 	: 넘 슬픈 얘기예요
P1 	: 왜 싫어 하세요?
P0 	: 모르겠어요..  그냥 특별한 이유는 없는데ㅋㅋ 보면 괜히 안좋은 남자배우나 여자배우가 있어요.. ㅋㅋ
P1 	: 아 그런거 있어요  ㅋㅋ
P1 	: 전 원래 좋아했어요
P1 	: 여기서 이뻐요 ㅋㅋ
P0 	: 아하!ㅋㅋㅋ  그것도 슬쩍 내용보고  재밌으면 도전해봐야겠네요
P1 	: ㅋㅋ고구마 가
P1 	: 근데 넘 아련하고 잼나요
P1 	: 길어서 중간에 넘기며 보긴했어요
P0 	: 이건 그냥 추리 이런거 아니고 드라마 장르인거죠?!
P1 	: 네
P1 	: 정통멜로요 ㅋㅋ
P1 	: 안맞으실것 같아요 ㅋㅋ
P1 	: 그냥 꽂혀서 봤어요 ㅎㅎ
P1 	: 김현주 지진희가 좋아서요 ㅎㅎ
P0 	: 그럴꺼 같네요ㅎ
P0 	: 저 어제 시크릿호.텔 다봤어요!
P1 	: 대박이세요
P1 	: 오 범인 아셨겠네요 ㅋㅋ
P1 	: 그걸 다보시다니
P1 	: 추카추카
P1 	: 정말 의지의 여인이십니다
P0 	: 네ㅋㅋㅋ 캠핑갔다와서 한동안 또 쉬었네요ㅠㅋ
	  다른거 시작했어요
P1 	: 뭐요?
P0 	: 7일의 왕비
	  드라마요ㅋ
P1 	: 오 요새 안봐서 첨들어봐요
P1 	: 잼나요?
P0 	: 17년도 드라마던데 검색하다가 재미있어보여서 지금 3화째보고 있어요~~
	  아직까진 재밌네요ㅋ
P1 	: 오 그런가요
P1 	: 아 뭔지 알겠어요
P1 	: 잠깐 본것 같아요
P1 	: 근데 잠깐 본거라 잊었네요 ㅎㅎ
