# FILE DATA
ID : MDRW2100043105
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 스엠 콘서트...귱금
P0 	: 아 근데 저는 ㅋㅋㅋㅋㅋ이제 남돌 어휴 뭐 좋아만하면 사고쳐대니가 이젠 좋아할수가 없더라구요
P1 	: 아 맞아요.... 진짜 .... 사고안친 아이돌이 없으니까 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 여돌좋아하면 그런거 없을줄알았는데... 아이린도 그렇고... 트와 열애설도 상대편이 죄다 맘에안드는거에요 ㅋㅋㅋㅋㅋㅋ(오지랖) ㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ아 그쵸 그냥 여자들이 다 너무 아까움 ㅠ
P0 	: 흑흑
P1 	: 다른 콘서트나 공연 가보신적 있으신가요?!
P0 	: 저는 딱히 생각하는게 없네요 잘 안가는거같아요
P0 	: 노는거는 되게 좋아하거든요? 근데
P0 	: 사람 엄청 많은데는 너무 ㅋㅋㅋㅋ 기빨려서 잘 안갔던거같아요
P0 	: 공연 자주 다니셨나요?
P1 	: 아 저는 어릴때는 스탄딩도 잘다녔는데 이젠... 좌석 아니면 안가고요 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저는 약간 덕질을 쭈욱해서 ㅋㅋㅋ콘서트 많이 다닌거같아요 ㅋㅋㅋㅋ
P0 	: 아 스탠딩 그거..ㅋㅋㅋㅋ에너자이저들만 간다는..
P0 	: 덕질 누구누구 하셨어요 ㅋㅋㅋㅋ
P1 	: 저는 학창시절엔 아이돌이 아니라 넬이랑 휘성좋아해서 ㅋㅋㅋㅋ
P1 	: 계속 콘서트 가는게 투두리스트였여서 대학생돼서 콘서트 첨으로 가봤고요!!
P1 	: 아이돌은 대학생돼서 좋아하게됐어요 ㅋㅋㅋㅋ
P1 	: 최근엔.. 데이식스 참 좋아하는데용.. 콘서트 최고랍니다!! 근데 코로나땜에 콘서트는 망했죠 뭐ㅜㅜ
P0 	: 넬!!!!
P0 	: 아쥑도~~~~
P0 	: 너의 소리를 듣고 하쥑도~~~
P1 	: 악ㅋㅋㅋㅋㅋㅋㅋ잘뷰르시네옄ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 바로 자동재생ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ조아하는 아이돌이 데이식스이싱겅가욬ㅋㅋㅋㅋ
P0 	: 아 넬은 못참죠
P1 	: 갓세븐도 좋아했는데요...해체해버렸네요...슬픔...ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 근데 두루두루 좋아합니당ㅋㅋㅋㅋㅋ
P0 	: 아 갓세븐... 노래 좋았는데
P0 	: 저도 동방이후로는 막 누굴 좋아하고 덕질은 안하고
P0 	: 그냥 두루두루 좋아해요 ㅋㅋㅋ근데 이젠 여돌이 더 좋은
P1 	: 아 저도 요즘 여돌 노래 엄청 듣고 있습니다 ㅋㅋㅋ노동요로도 넘 좋고 ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ맞아요 저도 노동요같은 쎈 노래좋아해서
P0 	: 드림캐쳐랑 이달소
P0 	: 요런 그룹 넘 조아요
P1 	: 헐 저 요즘 이달소 girl front 엄청 듣고 있어요 ㅋㅋㅋㅋㅋ
P0 	: 걸프론트??? 헐 나왜모르지??? ㅋㅋㅋㅋㅋ
P0 	: 들어보ㅏ야겟어요
P0 	: 전 피티티 빠져가지곸ㅋㅋㅋㅋ
P0 	: 먄날 들으면서 내적댄스 춰요
P1 	: 헐 전 피티티를 몰라요 ㅋㅋㅋ지금 바로 들으면서 해야겠어요 ㅋㅋㅋㅋ이달소는 유닛도 참 많고 ㅋㅋㅋㅋ잘 모르겠더라구요 ㅋㅋㅋㅋㅋ
P1 	: 오 이거 최신곡인가보네요 맨위에 뜨네용
P0 	: ㅋㅋㅋㅋ마자요 최신곡이에요!!!
P0 	: 진짜 겁나 무슨 내가 늑대후예된거같고
P1 	: 아 진짜요 ㅋㅋㅋㅋㅋ내적댄스 ㄹㅇ ㅋㅋㅋㅋㅋ전주부터 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저 약간 이런 아프리카풍(?) 음악 좋아해요ㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ노래좋져!!!
P0 	: 띵까뗏띵까뗏~~~
P1 	: 넹!! 이거 앞으로 제 노동요!! ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 드림캐쳐노래는 들어보셨어요?
P0 	: 드캐가 사실 저의 최애그룹ㅋㅋㅋㅋ
