# FILE DATA
ID : MDRW2100013009
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 비와가 다행이였음 ㅋㅋㅋ
P0 	: 응응 ㅋㅋㅋ
P1 	: 아니였음 오는내내 징징댔을듯..
P1 	: 새 장화에 신남 ㅋㅋㅋㅋ
P0 	: 그러니깐ㅋㅋ
P0 	: 웃겨 귀엽네ㅋㅋ
P1 	: 애들 참 단순해..ㅋㅋㅋㅋ
P1 	: 돈을 많이 써야됨 ㅋㅋㅋ
P0 	: 맞어 단순해ㅋㅋ
P0 	: 돈 ㅋㅋ버니깐
P0 	: 쓰자마ㅋㅋ
P1 	: 그래~요즘 진짜 그런생각많이한다~
P1 	: 아둥바둥해봐야 나가는돈은 다나가고~
P1 	: 내만 스트레스 받고 ㅋㅋㅋㅋ
P0 	: 아니 진짜 울신랑은 한번씩 내가 막 이렇게 하는게 이해가 안되나봐. 하지말래
P0 	: 근데 나는 내좋자고 하는것보단 아낀다고 하는건데
P1 	: ㅋㅋㅋㅋㅋㅋㅋ얼마나 되겠노 이런거 아니가??ㅋㅋㅋㅋ
P1 	: 모으면 좀 되는데~
P1 	: 솔직히..아껴쓰면 젤 젛지 ㅋㅋㅋ근데 그게 안되니 ㅋㅋㅋㅋㅋㅋ
P0 	: 그러니깐
P0 	: 얼마나되겠노인데
P0 	: 그래두 짭짤한디ㅋ
P1 	: 8천원 만원카면 얼마안되는거 같아도
P1 	: 텅닭값인데 ㅋㅋㅋㅋㅋ
P0 	: 그러니깐
P1 	: 모으면 크다이~
P1 	: 모아서 우리가 안 주니깐 칸다 ㅋㅋㅋㅋㅋㅋ
P1 	: 모아서 줘봐라 ㅋㅋㅋㅋㅋ
P0 	: 여튼 오늘 마상입었다ㅋ
