# FILE DATA
ID : MDRW2100032231
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 일상 트렌드>싸이월드 부활

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  3
contact_frequency  :  주 1회 미만

P0 	: 싸이월드 어때??
P0 	: 나는 말로만 들어본 그것..
P1 	: 하...
P1 	: 우허는...
P1 	: 싸이월드그런거 모르는세대인가...
P1 	: 안써본세대인가...
P1 	: 싸이월드...
P0 	: 싸이월드 모르지...
P1 	: &name1& 그 쥬니어네이버에잇는 파니룸
P1 	: 알아?
P0 	: 말로만 전해 들었지
P0 	: 아니...ㅋㅋㅋ
P1 	: 오웅
P1 	: 오 ...
P1 	: 모르는..규나....
P1 	: 그......그렇구나...........
P1 	: 파도타기
P1 	: 뭔지알아?
P0 	: 아니 ㅋㅋㅋ큐ㅠㅠㅠ
P1 	: 모르는구나....
P1 	: 그. 막 랸덤한사람의 미니홈피에 들어가서
P1 	: 구경하고오는걸
P1 	: 파도타기라고하는데...
P0 	: 신기하군...
P1 	: 재밌었단다....
P1 	: 젠장큐큐큨큐ㅠ큐큐
P0 	: 미니홈피는 블로그 생각하면 되는건가...??
P1 	: 음ㅁ.....
P1 	: 일단 첨에 들어가면
P1 	: 미니룸이라고
P1 	: 내가 도토리를 주고 아이템을사서 나를 표현할수있는공간
P1 	: 이렇게 되어있고
P0 	: 도토리 ㅋㅋㅋㅋㅋ
P1 	: ㅎㅎ.....
P1 	: (머쓱
P0 	: 이것도 말로만 듣던 고대 유물
P1 	: 고대유물....(이마팍
P1 	: 미니미 라고
P1 	: 나의 아바타...랄까...
P1 	: 그래서 막 사진첩...일기장 ...방명록...
P1 	: 이런것들도있은
P1 	: 홈피...
P1 	: 같은...
P1 	: 블로그라고생각하면될거야.......
P0 	: 재밌겠네 ㅋㅋㅋ
P0 	: 싸이월드가 지금 다시 시작한 거야??
P1 	: 흠 다시시작한건아닌거같고
P0 	: 아님 이제 곧 다시 오픈한다는 건가??
P1 	: 도토리 얼머남아잇고
P1 	: 아이디찾고
P1 	: 그런서비스정도만
P1 	: 가능한거같은데
P1 	: 다시 오픈해야하는데...
P1 	: 딱히 소식이없는걸보니
P1 	: 이게또 주식놀음같은게아닌지
