# FILE DATA
ID : MDRW2100034662
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 이 자격증 따놓으면 취업에 도움이되긴할까
P1 	: ㅇㅇ
P1 	: 당연되지
P1 	: 엑셀중요함
P0 	: 운전면허도 따고나성
P0 	: 운전안하면 아무소용없는데
P0 	: 그 평벙한 사무직에 취업을 하고싶다 하하
P1 	: ㅋㅋ그거이 참 어렵네
P1 	: 운전면허 딴지 10년장롱
P0 	: 저거도 따고 안쓰면 까먹을거같긴한데
P0 	: 그래도 와 엑셀이런기능도 있구나
P0 	: 이런것도 알게는됨
P1 	: 엑셀마니 씀
P1 	: 유투브에도 강좌마늠
P0 	: 뭔가 수영처럼
P0 	: 당장 안써도
P0 	: 취업하연
P0 	: 하면
P1 	: 취업하믄 쓰게됨
P0 	: 다시또 동영상보면
P0 	: 금방 떠올리겠져
P1 	: ㅇ  잘찾아보믄 있어
P0 	: 아그때 이런거 있었지 하면서
P1 	: 엑셀 배워두면 잘쓴당
P1 	: 진짜라궁
P0 	: ㅇㅇ거기서 자기소개서나 이력서 써오면 봐준대요
P1 	: 오
P1 	: 그거 도움되겠네
