# FILE DATA
ID : MDRW2100028148
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대전
device : 스마트폰
keyboard : 천지인

id : 2
age : 10대
occupation : 기타
sex : 여성
birthplace : 해외/기타
principal_residence : 서울
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 사이퍼즈얘기하기
P1 	: 감사합니다
P1 	: 근데 제가 사이퍼즈를 접어서요
P0 	: 왜죠?
P0 	: C를 버리지 마세요
P0 	: 님접으면 망해요
P1 	: 이미 망했어요
P0 	: 꺄아악
P0 	: 근데저도 이자벨 나오고 안하는중
P1 	: 꺄아아아아악
P1 	: 캐삭(여기서 캐삭은 캐릭터삭제입니다.)해야해요
P0 	: 친절하게 주석달아주는 &name2&님
P0 	: ㅇㅈ합니다
P0 	: 거대한 카인 미연시세계관 멈춰
P1 	: 까아악
P1 	: 저 버스인데
P0 	: C는 여러분을 환영합니다
P1 	: 요즘 모바일게임은 와이파이가 없으면
P0 	: 버스에서 사퍼얘기하다 소리지르셧나요?
P0 	: 아니구나
P1 	: 광고가 안떠서 좋더라고요
P1 	: 네 저 경찰와서 잡혀가는중
P0 	: 경찰한테도 사퍼영업해요
P0 	: 사퍼하세요
	  사퍼안해요?
P1 	: 노력했는데 가셨어요
P1 	: 제가 사이퍼즈를 국민겜으로 만들겠습니다
P0 	: 대선출마해주세요
P0 	: 사이퍼즈가 먼저다
P1 	: 사퍼가 먼저다
P1 	: 사이퍼즈 말고 또 다른 재미있는 게임을 아십니까?
P0 	: 사이퍼즈 짱~
P0 	: 님도 사퍼로 연어하게 되실거예요
