# FILE DATA
ID : MDRW2100022953
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 충북
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 없어요..
P1 	: 생당근싫어해요
P1 	: &name1&은요??
P0 	: 아 당근..
P0 	: 저는 닭발이랑 곱창 같은거 ㅋㅋㅋ
P1 	: 아 내장같은거?
P0 	: 네 맞아요 ㅋㅋㅋ 알탕의 알은 또 좋아하는데
P0 	: 미끌미끌한 애들은 약해요 ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 맞아요..못드시는분들 사실 엄청많더라구요
P1 	: 미끌미끌~
P0 	: 잘 드시나요?? ㅋㅋㅋ 곱창 근데 구워진거보면 뭔가 맛있게 보이기는 해요 ㅋㅋㅋ
P1 	: 닭껍질도안드세요?
P1 	: 저는다잘먹어요...
P0 	: 아 닭껍질은 괜찮아요 바삭하면 ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋ백숙
P0 	: 아 백숙 좋죠 크으
P0 	: 구수한거 좋아해요 우러나는거 ㅋㅋㅋㅋ
P1 	: 오오
P1 	: ㅋㅋㅋㅋㅋ하...
P1 	: 저녁드셨어요?
P0 	: 아 이제 먹어야되는데 귀찮네요
P0 	: 드셨나요
P1 	: ㅋㅋㅋㅋ저도 딱 그상태에요
P0 	: 여름에 입맛이 없더라고요 ㅠㅠ
P1 	: 올여름에너무더웠죠 ..ㅠㅠ
P0 	: 그니까요.. 그냥 물말아서 오이지 얹어먹고 그랬네요 휴
P1 	: 아..그거라도먹을까요
P1 	: 일단전뭐가먹고싶긴한데 처리기가귀찬ㅅ아요..
P0 	: 식사 직접 해서 드시나요?
