# FILE DATA
ID : MDRW2100004301
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 서울
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>형제자매
intimacy  :  4
contact_frequency  :  주 1~2회

P0 	: 저녁 먹고 돌리면 될듯
P1 	: 레드북 못봐서 아쉽네
P1 	: 코로나 때문에 관극하기가 너무 어렵다~
P0 	: 응 아쉽아쉽
P0 	: 그치만 코로나가 심한데 극장 가기도 좀 꺼려지니까
P1 	: 뮤지컬중에 뭐가 젤 좋았어?
P0 	: 음 위키드
P0 	: 뉴욕 브로드웨이에서 봤지
P1 	: 역시 위키드지
P1 	: 같이본 사람이 훌륭해서 그런거 아닐까
P0 	: ㅋㅋㅋ
P0 	: 그것도 맞아
P1 	: 위키드가 젤 좋지만
P1 	: 지난번에 본 마리퀴리도 좋았어
P1 	: 배우들이 너무 좋았다
P0 	: 응 그 온라인으로 본 거
P0 	: 코로나 때문에 직관 못하는 건 아쉬워도
P0 	: 온라인으로 공개하는 건 좋음
P1 	: 아 맞아맞아
P1 	: 마리퀴리에서 그 히어라배우가 너무 좋았구
P1 	: 정인지배우도 참 좋더라
P1 	: 정인지배우가 그거 뭐야 그 조선시대 여성작가..
P0 	: 허난설헌?
P1 	: 아 맞아맞아
P1 	: 그 뮤지컬도 좋아보이더라 언제 할진 모르지만
P0 	: 응 10월인가 다윈영도 한댔는데
P0 	: 서울예술단
P1 	: 어 맞아 올해 한댔지
P1 	: 배우들 많이 바뀌었더라
P1 	: 캐스팅
P0 	: 아 그래?
P0 	: 메인롤은 거의 비슷한 것 같았는데.. 아닌가?
P1 	: 엉 나 봤을때랑 캐스팅이 달라진듯
P0 	: 오 그렇구만
P1 	: 다윈가족도 글코 그 여자애 말고는 친구도 다른 배우 같았는데
P1 	: 비교해본건 아니라 정확하지 않을 수 있음
P1 	: ㅋㅋ
P0 	: ㅋㅋㅋ응응
P0 	: 그건 보러갈 수 있으려나
P0 	: 코로나가 워낙 잠잠해지나 싶음 다시 기승이라
P1 	: 그러네 특히 이동하는데 시간이 걸리고 길면 좀 어려워
P0 	: 응응 대중교통 이용해야하니 더더욱
