# FILE DATA
ID : MDRW2100012468
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  3
contact_frequency  :  주 1회 미만

P1 	: 수술하고도 입원이 안되여ㅠ
P1 	: 이게 수술이 아니고 시술로 드간다고..
P1 	: 너무 짜증이가 나요ㅠ
P0 	: 아 수술 아니고 시술이구나 어깨에 염증 생겨서 그런 건데??
P0 	: 그래 화날 만하지 엠알아이 너무 비 쌈
P1 	: 글테요~수술도 100인데 이거 실비하면 어차피 80정도만 나온다 아녀요??
P0 	: 신랑 수술하고 왔는데 실비 못받아서 또 화낸 거 아니가??
P1 	: ㅋㅋㅋㅋㅋㅋㅋ언니 나 그정도는 아녀요 ㅋㅋㅋㅋ
P0 	: 실비에 따라서 다르겠지만 얼마나 올라는고...
P1 	: 속으로 화냈지 ㅋㅋㅋㅋㅋ
P0 	: 미안
P0 	: 너무
P0 	: 휴지로 봤제 ㅋㅋㅋㅋㄱ
P1 	: 보험 돈만 맨날내고 뭐 제대로 받아먹지도 못하고 ㅋㅋㅋㅋ
P0 	: 쓰 가 안되네
P1 	: 휴지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아욱겨라 ㅋㅋㅋㅋㅋ
P0 	: 어 안 된단다 그건
P1 	: 너무 제약이 많네요 우리에겐 ㅋㅋㅋㅋㅋ
P0 	: 그래 일상적인 대화를 할 수가 없다
P0 	: 우리 투 보험도 진짜 안 좋아
P0 	: 비급여는 전부 안됨
P1 	: 보험이 갈수록 진짜별로ㅠ
P0 	: 그러이
P1 	: 우리꺼도 그래요ㅠ
P0 	: 원이랑 똑같은 거 들었는데도
P1 	: 이건뭐 솔직히 받을수있는게ㅜ없음..
P0 	: 원은 비급여 되는데 투는 안됨
P1 	: 돈은 더 비싸고ㅠ
P0 	: 그니까
P0 	: 입원해도 입원실비 없으니까 거의 반도 안나오고
P1 	: 돈아까운데..없음 불안하고ㅠ
P0 	: 그렇다
P0 	: 근데 진짜 내는 게 더 너무 많음
P1 	: 언니 난 이만 퇴근합니다~
P1 	: ㅋㅋㅋㅋㅋㅋ오늘도 수고 많으셨으요^^
