# FILE DATA
ID : MDRW2100004653
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 편의점 알바 퇴근햇는데 좀이따 추가업무 또감ㅠ
P0 	: 고된인생
P1 	: 와 힘들겠다
P1 	: 몇시간일해
P0 	: 보통 6시간 안팍? 근데 다른알바 병원간다고 오늘 7시에 재출근
P0 	: 한다음 12시?까지볼듯
P1 	: 으 개힘들겠다 잠은언제잔담
P0 	: 요즘 쪽잠 자는중
P0 	: 너는 알바할 생각없니?
P0 	: 편의점 알바 진상만없으면 일 자체는 갠찬은데
P1 	: 알바... 하면좋긴한데 안해도되면 굳이하지말잔생각
P1 	: 알바안해도 시간 개허투로쓰는데 알바하면얼마나그럴까
P1 	: ㅋㅋ
P0 	: 아정말
P0 	: 논리적이다
P0 	: 근데이미허투로쓸빠에
P0 	: 돈이라도벌면
P0 	: 성격따라일듯?
P1 	: 아니야 그나마하던것도안하게되잖아
P0 	: 나아는
P0 	: 누워잇는시간이많앗어서
P0 	: 알바처에서 아 이거 할 시간에 이거하고싶다 욕구가 땡기는듯
P0 	: 실현하는건적지만
P1 	: 와 그게되네
P1 	: 쩝
P0 	: 사실
P0 	: 돈쌓이면선택지가많겟지
P0 	: 난거지라 안되긴하는데
P0 	: 내친구는 뭐할때 돈걱정안하더라
P1 	: ㅋ돈쌓이면당연히 선택지가많지
P1 	: 그건 ㄹㅇ부럽네
P1 	: 일안해도되고
P1 	: 나도학교인턴정도는 하고싶은데
P1 	: 모르겠다
P0 	: 리얼
P0 	: 학교알바들도잉는데
P0 	: 요즘은그닥안구하는듯
P1 	: 학교알바는 매번구할텐데
P1 	: 그것도국장임
