# FILE DATA
ID : MDRW2100039670
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 충북
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 연애하고계신가요
P1 	: 아니요 지금은 없어요 ㅋㅋ
P1 	: &name1&님은요
P0 	: 저도 없어요 ㅠㅠ
P0 	: 연애하고싶으신가요?
P1 	: 하고는 싶은데 막 막연하게 그래요 ㅋㅋㅋ
P1 	: 당장 외롭진 않은..
P0 	: 저도 ㅋㅋㅋ
P0 	: 결혼은 하고싶으신가요?
P1 	: 계획에 없어요 ㅋㅋ 안할 듯 하네요 아마
P1 	: &name1&님은요
P0 	: 전 안할생각이에욬ㅋㅋㅋㅋ
P0 	: 필요성이없어서
P0 	: 어릴때부터 굳이..?
P0 	: 그랬어요 ㅋㅋ
P1 	: 안하고 사는 게 편한거 같아요 ㅋㅋㅋㅋ
P1 	: 나 혼자도 힘들다 이런.. ㅋㅋㅋ
P0 	: 앗 들켰나요
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 나 하나 돌보기도힘들다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋ 진짜 누구랑 인생을 함께함다는 게 상상이 안 가더라고요
P0 	: 차라이 고양이랑 함께...할거같아욬ㅋㅋㅋㅋㅋ
P0 	: 사람은 어우
P1 	: 그럼 이상형은요?? ㅋㅋ 있으시죠?
P0 	: 음 이상형이라
P0 	: 그냥 존경할만한 사람?
P0 	: 이 항상 좋았어요
P1 	: 오 좋죠.. 저는 대화가 잘 되는 사람
P0 	: ㅋㅋ맞아요 그것고있어요
P0 	: 대화안되면 재미없어요
P1 	: 그쵸 아무리 잘생겨도 ㅋㅋ
