# FILE DATA
ID : MDRW2100007607
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저 사실 게임 잘 안하기는 하는데
P0 	: 아 진짜요?
P1 	: 페이커만 알아요
P1 	: 헐 게임 조아하세요?!
P0 	: 저 어릴때 메이플 진짜 오래했었는데
P0 	: 아뇨 좋아하지는 않고요!!!!!
P1 	: -메-
P0 	: 아놔
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 메이플 그거 과금러들이잖아요
P0 	: 하 들켯네
P1 	: 얼마쓰신거죠
P0 	: 전 과금전에 햇으니까 아니라고 해주세요 물론 추석 설날용돈 다 투자햇지만
P1 	: 메이플 근데 최근에
P1 	: 뭐냐
P1 	: 넥슨이 뽑기로 조작해서
P1 	: 난리나지않았나요??
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니....심심이 지금 렉나냐고요!!
P0 	: 엄청 늦게오네......
P0 	: 심심아 자냐
P1 	: 넥슨 뽑기 확률이 극악이라고 그러면서 유저들이 로아같은 게임으로 이동했지만
P1 	: 과금을 버리지 못했다는 글을 봤어요
P0 	: 어릴때 했던거라서 과금이 아예 없던??
P0 	: 시절에 한거라고요~~
P1 	: 굿굿
P0 	: 근데.. 명절에....받은 용돈 다쓰긴했어요
P1 	: 그 거기에
P0 	: 저도 그래서 차단하고 왔는데.....
P1 	: -투자-를 하신거죠
P1 	: 모바일겜은 안하시나요
P1 	: 저는 그 리듬겜하다가
P0 	: 헐 저 슈스엠..
P1 	: 건초염이 왔었어요
P1 	: 헐 슈스엠
P0 	: 아놔 진짜 매번진심을 다하시네
P1 	: 아나
P0 	: 슈스엠 진짜 열심히햇엇어요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 리듬겜이 약간
P1 	: 성장캐가된 느낌을 느낄 수 있어욬ㅋㅋㅋ
P1 	: 할수록 는다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 맞아욬ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 어려운노래 깼을때 그 쾌감...
