# FILE DATA
ID : MDRW2100029001
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 전문가 및 관련 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 경영/관리직
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 경남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아,,, 말도안되ㅋ
P1 	: 힘내시고!!
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저야 몸에서 곧 사리가....나올걸요....
P0 	: 제 기준에서 최선을 다하고 있고요...
	  상대방이 느낄지 모르겠지만ㅋㅋ
P1 	: ㅋ 동의합니다 사리나오죠
P0 	: 제가 섭섭한건 다 참고 말안하는데
P0 	: 자기 불만은 한번씩 펑 터트리면...
P0 	: 와...미쳐요 진짜
	  집을 나갈 수도 없고ㅋㅋ
P1 	: 나가고싶죠  저도ㅋ
P1 	: 결론은 패배 울면끝
P0 	: 애들있어서 참지요
P0 	: 애가 크면 싸우기도 힘들고 울기도 눈치보입니다
P0 	: 이제 주무실 시간입니다ㅎ
P0 	: 내일 또 대화나누시죠 항상 감사드립니다^^
P1 	: 저녁에 해주세요
P0 	: 네 몇시쯤?
P0 	: 아 불금이군요ㅋ
P1 	: 전 애들재우고 9시 이후
P0 	: 넵 ㅎ 내일뵈요!
P0 	: 역시 아이들은 일찍자는군요
P0 	: 저희집은 늦게자는....
P1 	: 재워야죠^^ 내일시작
P1 	: 마감 하고 낼뵈요
P0 	: 넵~~
P1 	: 주무세요
