# FILE DATA
ID : MDRW2100014238
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 좋아하는 게임 있으신가요?
P1 	: 전 게임은 안좋아하는데
P1 	: 스벅각 베라각만해요 ㅋㅋ
P1 	: 좋아하는거 있으세요
P1 	: ?
P0 	: 저는 모바일 게임을 즐겨합니다.
P1 	: 아그러세요
P0 	: 베스킨라빈스 31 술게임도 재밌지요.
P1 	: ㅋㅋ
P1 	: 저거 두개밖에 못해요
P1 	: 저희딸보니 스타뷰밸리
P1 	: 하던데요
P1 	: 요새 다들 하더라고요
P0 	: 스타듀밸리 유명한 게임이죠.
P1 	: 오 그런가봐요
P0 	: &name2&은 그럼 보드게임이나 카드놀이를 좋아하시나요
P1 	: 막 맨날 가난해서 ㅋㅋ
P1 	: 힘들어하던데
P1 	: 전 게임은 예전에 솔리테어만 했었어요 ㅎㅎ
P0 	: 스타듀밸리는 오래하는 게임인데 농작을 해서 돈 벌기가 쉽지 않나봐요
P0 	: 솔리테어는 처음 들어보는데 어떤 게임인가요?
P1 	: 그렇대요
P1 	: 결혼도 하는데 선물 잘줘야 ㅋㅋ
P1 	: 호감도 올라가서 한대요 ㅋㅋ
P1 	: 카드게임이요 ㅎㅎ
P1 	: 어떤게임 하세요
P1 	: 아들은 핫스스톤 한참하더니 안하네요 ㅋㅋ
P1 	: 그거 gs에 카드 받는다고 다 돌아서 구해다 줬네요
P1 	: 직원분이 많이 사는 사람만주고 ㅡㅡ안줬어요
P1 	: 그카드 아세요?
P0 	: 어머 자녀분을 위해 바쁘신 어머님이시네요. 자녀분들이 좋아하실 것 같아요.
P1 	: 아니예요 ㅋㅋ
P0 	: 카드는 잘 몰라서요.
P1 	: 그때 고생한 기억이 나뇨
P1 	: 요
P1 	: 엄청 인기였어요
P1 	: 뭐 하시는데요?
P0 	: 전 루미큐브 모바일 게임을 즐겨합니다.
P0 	: 숫자 순서대로 맞추는 건데 집중하면 시간이 잘 가더라구요.
P0 	: 보드게임도 있어서 친구들이랑 하기도 쉬워요.
P1 	: 아 보드게임요
P1 	: 어저희 딸도 친구랑했었어요
P1 	: 보드게임 카페서요
P1 	: 모바일에도 있군요 ㅎㅎ
P0 	: 오 자녀분도 하셨다니 신기하네요.
P1 	: 네 커요
P1 	: 고3 초6
P0 	: 나이차이가 많이 나네요.
P0 	: 아무래도 어린 자녀분은 보드게임 같은 류를 좋아하시고
P1 	: 네 그렇죠
P0 	: 큰 자녀분은 모바일이나 피씨게임 쪽을 좋아하실 것 같네요.
P1 	: 루미큐브 머리 잘써야하는데 ㅎㅎ 잘하시나봐요 ㅎㅎ
P1 	: 네 ㅎㅎ
P1 	: 근데 이제 컸다고 게임하네요 둘째도 ㅋㅋ
