# FILE DATA
ID : MDRW2100010431
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 하 저 너무 좋아해요...
P1 	: 영화관 분위기를 좋아하는데 못가서 아쉽네요ㅠ
P0 	: 맞아요 ..그래서 요즘 넷플릭스로라도 영화보고 있어요..
P0 	: 영화장르 어떤거 좋아하세요?
P1 	: 저는...추리물 좋아하는 것 같아요 사실 안 가리고 보지만....
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ &name1&님은요??
P0 	: 저도 추리물 너무 좋아해요!
P0 	: 나이브스아웃 보셨나요?
P1 	: 하 아뇨ㅠㅠㅠ 보려고 했는데 아직도 못보고 있어요 ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: &name1&님은 보셨나봐요 그쵸
P0 	: 네 저는 영화관가서 보고 넷플릭스로 또 봤어요 ..ㅎㅎ
P0 	: 재밌어서 시간되시면 한번 보세요 !
P1 	: 와!! 꼭 볼게요!!!! 좋아요!!!!!!!!
P1 	: 저는 장르는 추리 좋아하는데 인생영화는 작은아씨들이에요
P1 	: ㅋㅋㅋㅋ모순...
P0 	: 인생영화 다를순 있죠!! 그렇게 재밌나요?
P0 	: 보려다가 아직 시도 안해봤어요 ..!
P1 	: 전 캐릭터들 성격이 다 다른게 너무 좋았어요!
P1 	: 대사들도 괜찮고요!! 2019년 버전이 더 좋더라고요!
P0 	: 한번 봐야겠어요 ㅎㅎ
P0 	: 저는 인생영화라고 딱 말하기에는 정해진건 없지만 해리포터랑 메이즈러너는 정말 재밌게봤었어요
P1 	: 해리포터...너무...좋아해요...
P1 	: 저 아즈카반이 최애라 4D보고싶었는데...
P1 	: 타지역에 가야해서 결국 못본게 너무 아쉽더라고요ㅠㅠㅠㅠ
P0 	: 저도 기회가 안되서 포디 못봤는데 재개봉 한번만 더 해줬으면 좋겠어요ㅠㅠ
P1 	: 하ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ진짜요ㅠㅠㅠㅠㅠㅠㅠㅠ
P1 	: 포디 너무 보고싶었어요 제발 비밀의 방이라도....
P0 	: 그니까요... 포디로 보면 얼마나 더 재밌을까요..? ㅠ
P0 	: 못본게 너무 후회돼요 ㅠㅠ 보러갈걸..
P1 	: ㅠㅠㅠㅠㅠㅠㅠ또...할리가 없겠죠?
P1 	: 사실 전 불사조 기사단 포디로 보고싶어요 아니면 죽성2!
P1 	: 진짜 재미있을거 같아요 포디로보면!!!
P0 	: 결투장면 포디로 보면 대박일 것 같아요...!!
P0 	: 한번 나오지 않을까요 점점 차례대로 포디 나오는 것 같던데 ㅠㅠ
P1 	: 그쵸!!! 불의잔까지...했죠? 아닌가? 저는 불의잔은 책으로 봐야 재밌더라고요ㅜ
P0 	: 죽음의성물만 책으로 봤는데 불의잔도 한번 봐야겠네요
P0 	: 신비한 동물사전도 보셨나요?
P1 	: 네!!!!네!!!! 저 신동사 좋아하는데..
P1 	: 조니뎁때문에.........하....
P0 	: 진짜 조니뎁 안나오길 바랬는데... 나오는 장면마다 보기 싫더라구요..
