# FILE DATA
ID : MDRW2100045584
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 연기는
P1 	: 박은태다음으로심각해
P0 	: 박은태가
P1 	: 그리고예스미야
P0 	: 더 못해....?
P0 	: ㅇㅇㅇㅇㅇ 예스미인건 저도 기억나..
P1 	: 비교대상이 같은극이아니라 단언할수없지만
P1 	: 제기준
P1 	: 은태가더못해
P1 	: ㅋㅋㄱㄱㅋㅋㄱㄱㅋㅋㅋ
P1 	: 거미여인의키스 보러갔는데
P1 	: 아...
P1 	: ,aㅏ....
P1 	: ,저는 라만차 조승우도좋아해여
P1 	: 물론 류님꺼만봤지만
P1 	: 라만차는연기력이중요해서
P1 	: 홍광호는안갈거먀
P1 	: 라만차도안갔어
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아 약간
P0 	: 본인도 아나보네
P0 	: 자기 연기 약한거
P1 	: ㅇㅇㅇㅇ
P1 	: 홍도라만차하긴했는데
P1 	: 성대잘난건소문이많이나서
P1 	: 사람들이 많이가더라고며
P1 	: 덕분에 이번티켓팅 수월했다
P1 	: 앞으로도 지킬 지길 이정도만 해
P1 	: 홍 화이팅
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 어그로는 님이 끄시고
P0 	: 나는 널널하게
P1 	: ㅇㅇㅇㅇ
P0 	: 내 몫 챙겨감
P0 	: ㅅㄱ
P1 	: 류님도물론
P0 	: 네네
P1 	: 티켓팅빡세지만
