# FILE DATA
ID : MDRW2100014976
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 기타

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 마지막으로 여행가신게 언제인가요?
P1 	: 코로나 때문에 오래됐어요 ㅠㅠ
P1 	: 여행 정말 좋아하는데ㅠㅠ
P0 	: 저두요
P0 	: 그래도 마지막이 할머니모시고 일본 간거라 좀 위안이요
P1 	: 와 할머니께서 좋아하셨겠어요
P1 	: 일본 어디다녀오셧어요?
P0 	: 도쿄쪽 갔다왔어요
P0 	: 내가 아는 곳으로만
P1 	: 도쿄 한번도 안가봤어요 ㅎㅎ
P0 	: 서울하고 비슷해요
P0 	: 한국사람도 많고
P1 	: 맛있는 디저트 얘기도 많이들엇어요 ㅋㅋㅋ
P0 	: 네 전 특히 백화점지하를 사랑합니다
P1 	: ㅋㅋㅋㅋㅋ어느나라든 백화점지하가 맛있는건 공통인가요
P0 	: 유명한가게 팝업도 다있고
P0 	: 고래고기 먹은게 좀 기억에 남네요
P1 	: 고래고기요?? 우와 신기
P1 	: 안먹어봐서 어떤맛인지 궁금해요 ㅋㅋ
P0 	: 익은 꼬치여서 참치스테이크 같았어요
P0 	: 냄새를 감추려한건지 좀 간이 쌔더라구요
P1 	: 오 그렇구나
P1 	: 참치스테이크 같으면 맛잇을것같아요
P1 	: 나중에 먹어볼일잇으면 먹어봐야겟어요 ㅋㅋㅋㅋ
P0 	: 추천할맛은 아니예요
P0 	: 규탄이라고 소혀는 진짜 강추
P1 	: 규탄은 먹어봣어요 그냥 녹던데요ㅠㅠ
P0 	: 그쵸?
P0 	: 한국엔 많이없어서 아쉽
P1 	: 너무 맛있었음...ㅠㅠ
P0 	: 이태원에서 한곳 봤어요
P1 	: 레몬이랑도 너무 잘어울리고ㅠㅠ
P0 	: 파랑 소스랑
P0 	: 맥주캬아
