# FILE DATA
ID : MDRW2100010094
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 맞아요
P1 	: 있으면 먹지만 없어도 괜찮다 ->고수
P0 	: 쌀국수 조아하시나요
P1 	: 하 엊ㅅ어서 못먹죠
P1 	: 저의 몸은 3%물과 97%쌀국수로 이루어져있습니다
P0 	: 탄수화물이시군요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅌㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 하 어떤거 조아하시나요
P0 	: 핫 소스
P0 	: 아니면
P1 	: 아 나 탄수화물 완전사랑하네....
P0 	: 닭 아니면 양지
P1 	: 닭
P1 	: 닭이요 닭....
P1 	: 아...
P0 	: 단백질도 챙겨드시는 편
P1 	: 아
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 탄단지 맞춰야 건강하게 오래산다고요~~~
P1 	: 국룰.
P0 	: 맞아요 맞아요
P0 	: 탄단지여서 문제인데
P0 	: 단탄지로 먹어야..
P0 	: 제가 그 고지방 식단 아시나요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그 치즈먹고 그런거
P1 	: 네네
P0 	: 그거 해봤었는데
P1 	: 그거 저탄고지
P0 	: 내장지방만 높아졌다해서
P0 	: 쓰읍..
P1 	: 헣 그거하면 탈모온다던데요
P0 	: 바로 바꿨었습니다
P1 	: 어떤 유튜버가...
P0 	: 헐 그건가
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 범인이 그거였나
P0 	: 가만안둬
P1 	: 아놔
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저는 탄수 40 지방 단백 30 먹는게 좋다해서
P1 	: 맞춰먹거든요? 근데 보면...탄수 70이 되어있는 마법
P0 	: 쓰읍..
P0 	: 마라탕도 채소 많지만
P0 	: 탄수 70이라던데요
P1 	: 채소 많음 = 건강음식
P0 	: 당면 빼라는데 그러면 먹을게 뭔지
P0 	: 분모자면 좋아하시나요
P1 	: 당면 빼면 적폐인데요.
P1 	: 아 씁 좋아하죠 저 약간 그런음식 좋아하네요
P0 	: 탄수덩어리
P1 	: 탄수화물 덩어리
P1 	: 아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅌㅋㅌㅋㅋㅋㅋㅋ
P0 	: 어 통했다
P0 	: 어제부터 뇌라포밍되어있는데
P0 	: 무섭네요
P1 	: 하씁 인연됐다 3번 통했네요
P0 	: ㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅌㅋㅋㅋㅋㅌㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ3번 통하면 인.연 이잖아요
P0 	: 인.연.
