# FILE DATA
ID : MDRW2100024961
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 좋아하는 아이스크림 있어?
P1 	: 베라 뉴치케 아니
P1 	: 레인보우샤베트도 좋아해
P0 	: 당연하지 무조건 필수
P0 	: 미안 샤베트 배척
P1 	: 하 샤베트로 깔끔하게 해줘야
P1 	: 계속 먹을수있다구
P0 	: 무슨소리야 민초로 입 깔끔 가능해
P0 	: 혹시 민초는 조아하니?
P1 	: 민초 세입 먹으면...
P1 	: 할당량 끝난다 ㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ이럴수가
P0 	: 투게더는 좋아하니?
P1 	: ㅋㅋㅋ투게더 싫어하는 사람 누구?
P1 	: 아직 못봤다
P1 	: 투게더 한톧 순삭 가능
P0 	: ㅋㅋㅋㅋㅋㅋ하긴 투게더 제일 기본이지
P0 	: 슈퍼 아이스크림중에 사먹는거잇어?
P1 	: 음 요즘엔 빵빠레
P1 	: 좀 사먹었지
P1 	: 요즘 슈퍼에서 사먹는거 있나?
P0 	: 크 빵빠레 최고
P0 	: 냔 잘 안사먹는데 냉장고에있으면 먹어
P0 	: 옥동자 최든에 먹엇따
P1 	: 옥동자 오랜만이네
P1 	: 예전에 와일드바디 진짜 많이 먹었는데
P0 	: 빵빠레는 잘 안보여ㅠ
P0 	: 와 추억이다
