# FILE DATA
ID : MDRW2100031669
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 경기
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 차를 사면 이것저것 부대비용도 많이들거같은데요
P1 	: 네 그래서 다들 차를 사면 돈을 못 모은다는 소리를 주변에서 많이 하시더라구요
P0 	: 아 전 차 없는데도 돈 못모으던데여? 또잉?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저도 차 없을 때도 못모아서
P1 	: 공감합니닻ㅋㅋㅋ
P0 	: 차 사면 음.. 방향제도 사고 세차용품도 사고
P1 	: 이게 a에 안쓰면 b에 쓰게되있어요
P0 	: 차에 거치대도 다셔야하고...
P1 	: 아이고..
P1 	: 썬탠?)도 해야하고
P1 	: 방향제
P1 	: 고민이네요 ㅎㅎ
P0 	: 썬탠이 창문에 필름씌우는? 그건가요
P0 	: 제가 차를 아예몰라서 무식한질문하네녀.
P1 	: 뭔가  잘못사면 멀미할것같아서요ㅋㅋㅋ
P1 	: 네네
P1 	: 바깥에서 안에 못보게..?
P1 	: 법으로 어느정도 이상은 못하게 한다던데 ㅋㅋ..
P1 	: 한번 알아봐야겠어요..ㅋㅋ
P0 	: 그쵸 괜히 샀다가 불법이라 그러면...찝찝하니까...ㅎㅎ
P0 	: 그래도 이것저것 꾸미는 재미가 잇으시겠어요
P1 	: 그쵸...이미한거 벗겨내기도 아까울것같아요 ㅎㅎ
P1 	: 사실 저는..차 뒤에
P1 	: 차량용 에어매트..?
P1 	: 까는게 제일 기대되요 ㅎㅎ
P0 	: 그게 뭔가요? 에어매트?
P1 	: 음 매트리스 같은건데요 ㅎㅎ 차 뒷자석을 앞으로 밀고 깔면
P1 	: 차 뒤에 편하게 누울수있게 도와주는 매트리스 같은겁니당
P1 	: 혹시 운전하시나요?
P0 	: 음 아니요 ㅎㅎ 여기서 운전까지하면 차사느라 가산 탕진할거같으네요
P0 	: 세상은 넓고 신기한 상품은 많군여..
P1 	: 요새 유가가 비싸져서 더 그렇죠ㅎㅎㅎ
