# FILE DATA
ID : MDRW2100005318
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  직장>동기/동료/동업자
intimacy  :  3
contact_frequency  :  주 1~2회

P1 	: 중고거래는 당근이지 ㅋㅋㅋ
P0 	: 아 이언니 ㅋㅋㅋㅋ
P0 	: 당근에 별거 다올라옴 ㅋㅋㅋㅋ
P1 	: 근데 모르는사람 차단못하나?ㅡㅡ
P0 	: 내 같은 사람일수 있우니 받아줘요 ㅋㅋㅋㅋ
P1 	: 푸하하
P0 	: 난 모르는사람한테 막 보냈는데 ㅋㅋㅋㅋ
P0 	: 많이 궁한갑다카고 ㅋㅋㅋ
P1 	: 울신랑생일 내일ㅋ
P1 	: 선물사야됨
P1 	: 안그럼 쫓겨남
P0 	: 오~선물은 언니가 선믈 ㅋㅋㅋㅋㅋ
P0 	: 무습다 무서바 ㅋㅋㅋ
P0 	: 당근에서 구매 ㅋㅋㅋ
P1 	: 디다 ㅋㅋ
P1 	: 애들도 선물사야됨ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋ언니집의 가풍.??
P0 	: 풍습 이캐 ㅋㅋㅋㅋ
P0 	: 핫딜로다가 ㅋㅋㅋㅋ
P1 	: ㅋㅋ 선물좋아하는 아빠임ㅡㅡ
P0 	: 편지..??
P1 	: 편지 싫어함ㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ우와..물질만능주의 ㅋㅋㅋㅋ
P1 	: 피아노는 샀나?
P0 	: 아뇨 ㅋㅋㅋ
P0 	: 언니꺼 중고로 살라고요 ㅋㅋㅋ
P1 	: ㅋㅇㅋ
P1 	: 피아노 비싸서ㅡㅡ
P0 	: 장난이여요 ㅋㅋㅋㅋㅋ
P0 	: &name3&이 쫌 더크면 ㅋㅋㅋ
P0 	: 내년??
P1 	: 빨리사줘라ㅋ 좋아한다
P0 	: 요즘 &name3&이한테 뭔가를 너무 많이해즘..
P1 	: 그렇군ㅋ
