# FILE DATA
ID : MDRW2100014034
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 일상 트렌드>싸이월드 부활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 경영/관리직
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 혹시 싸이월드 하셨었나요?
P1 	: 아 옛날에 했었죠ㅎㅎ
P0 	: 저도 열심히 했는데 ㅎㅎ
P0 	: 그 이번에 다시 생기는거 들어가보셨나요?
P1 	: 어 들어는 봤어요 언젠진 잘 모르겠지만
P1 	: 다시 생기면 가입하려고요!
P0 	: 저도 다시 하려구요! 이번에 들어가봤는데
P0 	: 15년도 이후에 로그인 안해서
P0 	: 안봐지더라구요
P1 	: 뭔가 인스타가 요즘 너무 광고무더기가 돼서 새로운 sns 바라던 참이엇는데 반갑더라고요
P0 	: 헐 맞아요 !
P0 	: 그리고 뭔가 예전에 싸이월드 감성이
P0 	: 그립달까 ㅎㅎ 그 bgm도 다시 사고싶네요
P1 	: 맞아요 재밌었는데 홈피 꾸미고 파도타고
P1 	: 저는 지금와서 말하기 부끄럽지만 좀 쿨한 컨셉 밀어가지고
P1 	: 다행히 딱히 흑역사는 없어요
P0 	: 아 쿨한 컨셉 ㅋㅋㅋ 뭔지 알거같아요
P0 	: 저도 가끔 잠수중 적어놓고
P0 	: 다이어리 빼고 다 비공개로 하고
P0 	: 그랬었어욬ㄱㅋ
P1 	: 아 저랑 컨셉 비슷하셨네ㅋㅋㅋㅋ
P1 	: 저도 막 비공개해놨었는데
P0 	: ㅋㅋㅋㅋ그땐 왜 그랬나 모르겠어욬ㅋㅋ
P0 	: 근데 또 다시 생기면 유행할거 같지 않나요?
P1 	: ㅋㅋㅋㅋㅋ그럴것 같아요 근데 곧 나올줄 알았는데 늦네요
P0 	: 복구하는게 시간이 오래걸리나봐요
P0 	: 예전부터 부활한다 한거같은데
P0 	: 막상 들어가보면 안봐지고 ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋ생각보다 원활하게 뭐가 잘 안되나보네요
