# FILE DATA
ID : MDRW2100039789
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 과일 좋아하시나요?
P1 	: 네 좋아해요
P1 	: &name1&님은요?
P0 	: 저도 좋아해요 어떤 과일 제일 좋아하세요?
P1 	: 딸기랑 복숭아를 좋아해요
P1 	: &name1&님은요?
P0 	: 저는 망고랑 거봉을 제일 좋아해요 !
P0 	: 디저트로 먹는건 딸기생크림케이크를 제일 좋아하긴하구요..!
P1 	: 망고랑 거봉도 맛잇죠
P0 	: 그쵸 ㅋㅋ 과일은 참 맛있는게 많아요
P1 	: 맞아요 ㅋㅋㅋㅋㅋ
P1 	: 전 디저트로는 레몬이 들어간 걸 좋아합니다
P1 	: 레몬타르트같은거 ㅋㅋㅋㅋ
P0 	: 오 ..맞아요 과일타르트 너무 맛있어요 제 최애는 청포도나 자몽타르트 ...입니다
P0 	: 디저트랑 과일 조합이 아주 굿이에요
P1 	: 맞아요 상큼달달 ㅋㅋㅋㅋㅋ
P0 	: 그쵸 ㅋㅋㅋ 진짜 맛있어요
P0 	: 얼른 맛있는 딸기가 나와서 딸기케이크 먹고싶네요..
P1 	: 맞아요 딸기케이크먹고싶네요
P1 	: 거봉도 먹고싶어요 거봉도 좋아하거든요 ㅋㅋㅋㅋㅋ
P0 	: 맞아요 거봉 진짜 맛있지 않나요..
P0 	: 올해 포도만 먹고 거봉을 못먹었네요 얼른 한번 먹어야겠어요
P1 	: 달달하고 너무 맛잇어요 ㅋㅋㅋㅋㅋ 포도보다 훨씬 매력적
P0 	: 그러니까요 ... 거봉은 약간 씹는맛도 있고 씨도 없어서 더 좋아요
P1 	: 껍질째 먹어도 맛잇다는 것도 중요 ㅋㅋㅋㅋㅋ
P0 	: 그거져.. 껍질은 건강에도 좋잖아요
P1 	: 맞아요 ㅋㅋㅋㅋ 그리고 입에 넣고 씹으면 톡 터지는 느낌 완전 좋아요
P0 	: 그쵸그쵸 ㅋㅋ
