# FILE DATA
ID : MDRW2100029966
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 오늘 학교 너무 힘들엇다...
P0 	: 온라인이었지만...
P0 	: 온라인도 지치는 듯..
P1 	: 인정
P1 	: 나는 오히려 온라인 수업이 더 힘들어
P1 	: 차라리 학교에 가고 싶음
P1 	: 친구들이랑 쉬는시간마다 떠들면서 놀고 싶어
P1 	: 아 매점가서 매점빵도 먹고싶다
P1 	: 소세지빵 진짜 맛있는데
P0 	: 와 매점
P0 	: 우리학교 매점 ㅇ없는데
P0 	: 매점 어때?
P1 	: 음...
P1 	: 처음에는 엄청 좋았는데
P1 	: 사실 우리 매점이 다 비싸서
P0 	: ㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 교회 권사님께서 봉사하시는데
P0 	: 그치...물가 비싸지...
P0 	: ㅇ웅웅
P1 	: 매번 미안하다고
P1 	: 이게 독점이라서
P1 	: 가격을 학교에서 정하는 게 아닌가봐
P1 	: 물품을 주는 곳에서 가격을 정하는 거라고 하시더라
P1 	: 아이스크림 값도 올랐어
P1 	: 아 생각해보니 과제 다 안 했는데
P1 	: 큰일났다
P0 	: 아ㅏ 나도 과제하니까
P0 	: 오늘까지 내는거 있었는ㄷ
P0 	: 안햇어...
P1 	: 헐 나 지금 생각남
P1 	: 과제 누락될 뻔
P0 	: 헐
P0 	: 어떻게 ㄷ했어?
P0 	: 잘 됐어?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅠㅠㅠㅠ
P1 	: 지금 하는 중
P0 	: 아이고....
P1 	: 와 까먹을 뻔 했어
P0 	: 사실 나도 해야하는데 귀찮아서 안하고 잇다..ㅎ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 엄청 깐깐하신 선생님이신데
P1 	: 다행이다
P1 	: ㅋㅋㅋㅋㅋ아니
P1 	: 같이 하자
P1 	: 너네 경제수학 지금 배워?
P0 	: 안돼...닐어나기 싫어.  ..과제 싫어...
P0 	: 아니아니 내년
P1 	: 3학년 때 배우는 건가?
P1 	: 아아
P0 	: 그치만 난 수학주제탐구임
P1 	: 경제수학 은근히 헷갈림
P0 	: 경제수학 안함
P1 	: 아하
