# FILE DATA
ID : MDRW2100035986
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 여행좋아하시나요
P1 	: 별로 좋아하진 않아요 ㅋㅋ &name1&님의 여행얘길 해주시면 들을께요
P0 	: 앗 전 여행엄청좋아하는편인데
P0 	: 여행지에서 맛집가는걸 젤좋아해요 먹으러 여행하는편입니다
P1 	: 차타고 교외에 가거나 제주도 맛집은 아예 못?안가지만
P1 	: 경리단, 샤로수, 가로수, 힙지로 이런덴 가요
P1 	: 맛집 좋아하는건 저도 그래요!!
P0 	: 서울사시나봐요 저도 지금시국엔 여행못가지만ㅜㅜ
P1 	: 서울 근처요 경기도민은 전철만 있으면 명예 서울시민입니다 하하
P0 	: 저에겐 서울도 여행지라ㅎㅎ서울관광느낌으로 가끔갔었어요
P0 	: 아 그쳐ㅋㅋㅋㅋ
P1 	: 네 ㅋㅋㅋㅋ
P1 	: 혹시 가보고 싶으신 서울 맛집이 있으세요? 제가 먹어본 집이 있음 제 감상을 공유할께요
P0 	: 케이크맛집궁금해요..!
P0 	: 저 딸기케이크를 엄청좋아하는데 서울가면 꼭 사먹거든요 근데 너무많아서 매번고르기가 힘들어요
P1 	: 움,, 케이크 맛집도 종류따라 다룬데
P1 	: 유크림과 딸기 조화는 몽슈슈 오픈했을때 가로수길 매장이 이쁘고 좋았지만
P0 	: 오오 넵 적어둬야지
P1 	: 지금은 좀 단물 다빠졌어요 방사능 문제 이후에 국산원료 쓰면서 살짝 별로되었
P1 	: 지금은 안추천이에욥ㅋ
P0 	: 아아 그렇군요ㅜ
P0 	: 동물성크림 무조건...무조건입니당...
P1 	: 스놉 snob 은 지금도 가성비 좋아요 근데 이것도 딱 개업때 와와와옹 ㅏ와 이런 느낌이 아닌데 이건 제가 익숙해져서 같기도
P1 	: 스놉의 얼그레이 케이크랑 딸기 케이크 좋아요 크림 자체가 맛있어요 그리고 가격도 싼편이에요
P0 	: 앗 거기먹어봤어요!!!끝맛이 깔끔해서
P0 	: 오오 가벼운데 맛있는데 했던
P0 	: 과일이랑 잘어울리더리구여 크림이ㅜ
P1 	: 네 거기 괜찮았어요 일본에서 배워와서 일본계열이에요
P1 	: 몽슈슈 스놉 제가 다 좋아하는 니뽕스타일 케이크 ㅋㅋ
