# FILE DATA
ID : MDRW2100029250
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 가족과 함께 사나요?
P0 	: 혼자요
P0 	: &name2&은요
P1 	: 독립하셨나요?
P1 	: 저는 가족과 삽니다
P1 	: 3명!
P0 	: 오호...그중..리더?
P0 	: 네 독립 ...인셈이죠
P1 	: 네 제가 가장입니다
P1 	: 쉽지않습니다
P1 	: 혼자가 좋습닏ㄴ
P0 	: 아이고 그럼 집안일 머하세요
P1 	: 다하져
P1 	: 빨래
P1 	: 설겆이
P1 	: 수채청소
P0 	: ㅋㅋㅋㅋㅋ
P1 	: 안하는걸 찾아야됩니다 ㅋㅋ
P0 	: 육아도 잘하시나요
P1 	: 잘하져 ㅋㄱㅅ
P1 	: 매일 목욕같이해요 ㅋㅋ
P0 	: ㅋㅋㅋㅋㅋ 소주 드시고 ?
P1 	: 소주먹어도 해요 ㅋㅋㅋㅋ
P1 	: 독립하시니까 어떠신가요?
P0 	: 저요...걍 청소하고 밥먹고설거지하고 할게많죠   ..
P0 	: 혼자사는건조아요
P1 	: 여자친구는요?
P1 	: 여친은 있어야져!
P0 	: 저 여잔뎅 ! ㅋㅋㅋㅋ
P1 	: 아
P1 	: 죄송 ㅋㅋㅋ
P1 	: 혼자가 좋죠
P1 	: ㅋㅋㅋ
P1 	: 질문수정 남친은 있나요?
P0 	: 그거도업네요 ㅋㅋㅋㅋㅋㅋ
P1 	: 왜 남자분들에게 기회를 안주십니까 ㅋㅋ
P0 	: 남자가없던대요  ..
P0 	: 말잘듣는남자
P1 	: 오
P1 	: 성향
P1 	: 쌘캐신가보네요
P1 	: 훌륭합니다
P1 	: 자기 주관 뚜렸한 여자 매력터지죠 ㅎㅎ
P0 	: ㅋㅋㅋㅋ 받아줄사람이없네요 아빠말고
