# FILE DATA
ID : MDRW2100021768
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 제주
principal_residence : 충북
current_residence : 충북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 앗 그렇진않아요 ㅋㅋㅋㅋㅋㅋ
P1 	: 그것도 벌써 몇개월전이라서
P1 	: 제 관심은 그리 오래가지 못했다는...
P1 	: 그래도 그 전보다는 애정의 눈빛으로 보기는해요 ㅋㅋㅋㅋ
P1 	: 일부 차지하고 있기는 합니다....ㅋㅋㅋㅋ
P1 	: 만나자 라는 노래 좋아요 ㅎㅎ
P0 	: 그러시군욬ㅋㅋㅋㅋ저도 한창 놀면 뭐하니에 에스지워너비 나올 때 그 곡들 플리에 넣어둬서요
P0 	: 지금은 없지만...ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ저는 그 덕분에 90년대 음악 소환했잖아오! ㅋㅋㅋ
P1 	: 그런의미에서 ses 꿈을모아서 추천합니당 ㅋ
P0 	: 추천 감사해요 ㅋㅋㅋ
P0 	: ses하니까 요즘 바다 유튜브도 보시나요?
P1 	: 아~ 한다고 하더라구요!!!!
P1 	: 뭐 노래부른거 본것 같긴한데..
P1 	: 진짜 바다님 성대는 ㅠㅠㅠㅠㅠ 넘사벽 따라갈사람이없어요
P1 	: 꿈을 모아서 앞부분에 우~ 우우우~ 하는데 벌써 푸른바다 앞에 있다.... 벌써 청량청량한 숲 한가운데로 데려다놧다ㅠㅠㅠ
P0 	: 바다가 커버한 알콜 프리 넘 좋더라구요 나중에 들어보세요
P1 	: 알콜프리가 트와이스 노래죠?
P1 	: 요즘 가요를 안챙겨들어서 모르는 노래가 많아요~
P1 	: 그나마 던던댄스 ㅋㅋ
P0 	: 네네 맞아요. 요즘 밖엔 잘 못 나가니까 신곡 업데이트가 더 늦는 것 같어요ㅠㅠ
P1 	: 맞아요~ 또 예전만큼 길거리에서 노래를 못들으니까.. 더
P0 	: 그리고 공연을 안 해서 그런지 컴백 시기도 더 빨라진 것 같아요
P1 	: 그쳐!!! 활동시기도 짧아서 팬이 아닌이상은 노래를 알아가기도 전에 소리소문없이 들어가는것 같아요 ㅋㅋㅋ
P1 	: 약간 그들만의 리그처럼
P0 	: 그쳐 팬이 옆에 없는 이상 두세발 늦게 알게 되더라구요
P1 	: 그래서 처음보는가순데 신인이 아니라는 그런상황도 많고 ㅎㅎ
P0 	: 네 그러니까요 저번에 로드 투 킹덤 같은거 할 때도 다들 연차가 좀 있어슈 놀랐어요
P1 	: 킹덤 퀸덤 안보긴했지만 다들 신인같던데 그 사이에서도 선후배가 있더라구요 ㅋㅋㅋ
