# FILE DATA
ID : MDRW2100043895
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 서울
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 동기들끼리는 자리난대도 그게 내자리냐 ㅎㅎ 하긴 하죠
P1 	: 그래도 학교다닐 땐 재밌었어요
P1 	: 취업 유예도 하고
P0 	: ㅋㅋ저두요
P0 	: 뭐 엄청 열정적으로다니지는 않았지만
P0 	: 지금 생각하면 즐거운일도 많았어요
P1 	: ㅋㅋ 뭐가 좋으셨나요!
P0 	: 무엇보다 젊어서 아픈곳이 없었다는점에서 큰점수 주고싶습니다
P0 	: 지금도 마냥 나이든건 아니지마는ㅋㅋㅋ
P0 	: 숙취가 없다는 점이라던가
P0 	: 새벽 4시쯤까지 술을 마시고도 깨어있을수있다는 점이나
P1 	: 아니
P1 	: 대학원에서 술 많이 드셨나요
P1 	: 새벽네시까지라니..
P0 	: 아녀 대학때요ㅋㅋ
P0 	: 대학원때는 에너지음료로 새벽까지 있었죠ㅠ
P1 	: 와 열정적인 학부생활을 하셨네요...
P1 	: 정열매미
P0 	: ㅋㅋㅋ 마악 그정도는 아니구요
P1 	: 저는... 석사논문 제출전에만 밤샜던것 같아요
P0 	: 제가 인싸는 아니고 친한친구 몇만있었는데
P1 	: 새벽한시를 넘기지 못하는 몸..
P1 	: ㅋㅋㅋ인싸는 아니신가요
P0 	: 1대 1로 자주 새벽까지 놀았어요
P0 	: 저는 많이 모이면 당황하기 때문에...ㅋㅋ
P1 	: 대학생활의 낭만이네요!
P0 	: 네!!
P1 	: 전 수능을 여러번 봐서 대학을 갈아타서
