# FILE DATA
ID : MDRW2100039691
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 경기
device : 스마트폰
keyboard : 기타

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 원래는 최신곡 top100만 들었었는데
P1 	: 이젠 나이가 들어가는건지
	  최신곡은 들어도 모르겠고
	  감흥도 없고 ㅋㅋ 저 클때
	  노래들 듣네요 요즘ㅋㅋ
P0 	: 그런가요? 전 요즘 트로트 듣느라 바쁘네요
P0 	: 트로트 오디션이 많아지면서 프로가 꽤 되더라구요
P1 	: 오 트로트도 좋죠:)
P1 	: 아직도 트로트 프로가 많나요?
P1 	: 요샌 슬의생 외엔 안봐서
	  뭘 하는지도 모르고 살았네요 ㅋ
P0 	: 여전히 많아요
P0 	: 저로썬 좋죠.. 볼게 많아서
P1 	: 저희 아빠도 볼게 많은
	  요즘이겠군용ㅋㅋ
P0 	: 그럼요.. 어르신들은 엄청 좋아할겁니다
P0 	: 요즘 젊은 사람들은 티비 거의 안보고 유투브 보잖아요
P1 	: 맞아요ㅋㅋ 유툽 넷플 티빙 이런거 ㅋㅋ
P0 	: 그렇죠.. 그러니 그런거 잘 안보는 어르신들은 티비만 보니까
P0 	: 점점 트로트 열풍이 되는 거 같아요
P1 	: 아빠 유투브 잘 못하시는데
	  거기서도 영탁님 검색해서
	  보는거 같더라구여ㅋㅋ
P0 	: 영탁 좋아하시는군요
P0 	: 저는 그냥 뽕숭아학당 멤버들 다 좋더라구요
P1 	: 네ㅋㅋ 아빠는 영탁님을
	  좋아하시더라구요ㅋㅋㅋ
P0 	: 좋아하는 멤버가 있으면 더 즐길 수 있죠..ㅎㅎ
P0 	: 코시국에 집에서 볼만한 프로가 있다는 것도 복인 거같아요
P1 	: 맞아요:)
	  코시국에 이 또한 복인듯 하네요
