# FILE DATA
ID : MDRW2100033285
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 남성
birthplace : 부산
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  기타>연인
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 대따
P1 	: 나 수강신청 한 거 정정 내일까지인데
P1 	: 교양 바꿀까
P0 	: 지금 교양이 뭐뭔뎅
P1 	: 시간표 내가 보내줬잖아
P0 	: 한국사 소통 클래식?
P0 	: 아닝 난 봐도 뭐가 교영인진 모루지
P1 	: 거기에 실용영어까지 교양
P1 	: ^^
P0 	: 아하
P0 	: 난
P0 	: 방학이얌 ㅎㅎ
P1 	: 후
P0 	: 근데 나도 2주 후에 수강신청해
P0 	: 아니 근데 이거
P0 	: 평소에 내가 말 되게 끊어서 하잖아
P1 	: 실용영어 빼고 싶긴 한데 책 이미 샀음
P1 	: 엉
P1 	: 귀찮네 &name2&는 과제가 밀렸어
P0 	: 저런
P0 	: 나도 과제 해여돠는디
P1 	: ^_T...
P0 	: 아직 책도 안샀어
P0 	: 나도 학교 좀 가고싶다....
P1 	: 난 그렇다쳐도 너는 교과서 ㅃㄹ 사야지 않어...?
P0 	: 원래 보통 첫주는 오티하던뎅
P0 	: 교재 사면 일주일이면 와서 괜찮긴 하더라
P0 	: 근데 교재하는 게 일반 서적인데
P1 	: 우리는 오티 한 30분하고 나머지 좀 진도나가서
P0 	: 그거 읽고 감상+의견작성이라
P0 	: 아하
P0 	: 우리도 과목마다 다르기는 한데
P0 	: 아 수강신청 때 그거도 함 봐야겠다
P1 	: 머?
P0 	: 1회차에 진도 나가는지
P1 	: 아하
P0 	: 근데 한국에서는
P1 	: 우리는 진도 나가도 교수가 거의 피피티로 수업하고 피피티 자료도 줘서
P0 	: 그 강의 정보같은 거 보는? 그런 거 뭐라고 해
P0 	: 우린 시라바스라고 하거든
P1 	: 강의계획서?
P0 	: 아니 그
P0 	: 뭐라하지 이걸
P0 	: 강의 번호나 강의 정보같은 거 쭈루룩 나오는 사이트라 해여되나
P1 	: 아
P1 	: 우린 그런 거 없음
P0 	: 아 그래?
P1 	: 우리는 그 공지로 교양 정보들 싹 올리고
P1 	: 전공은 전공 시간표 따로 나와
P0 	: 아하
P1 	: 과제 하기 싫다아
P0 	: 나도....
P0 	: 제출 몇일까지였지
P1 	: 과제 뭐 있어?
P0 	: 아까 말 한 거 책 읽고 쓰는 거
P1 	: 아하
P0 	: 오 쉣 29일까지네
P1 	: 9월?
P0 	: 웅
P1 	: 책 내용 많아?
P0 	: 아니 책도 목록 꽤 있고 그 중에 선택인데
P1 	: 그럼 천천히 하자ㅋㅋ
P0 	: 가격은 다 나와있는데 페이지 수는 안나와있네
P0 	: 찾아보면 나오겠지만
P0 	: 귀찮은걸
P1 	: 게으르군.
P0 	: 여보도 똑같자나
P1 	: ㅎㅎ;
P0 	: 근데 해외라 책 오는 시간도 있어서
P0 	: 최대한 빨리 주문하고 읽고 하긴 해야되는데
P0 	: 아 하기 싫어~
P1 	: 과제 하기 싫어~
P0 	: 근데 나 과제도 과젠데
P0 	: 학교 도서관이 너무 가고 싶어
P1 	: 특이하네
P0 	: 나 그런 데 아니면
P0 	: 공부하는데 집중이 잘 안된단말야
P0 	: 글고 과제 레포트 쓸 때
P1 	: 학업 스트레스 이빠이
P1 	: 뒷목 턱
P0 	: 자료 찾는 거 넘 힘드러
P1 	: 쓰러짐
P1 	: 털썩
P0 	: 그래도 견뎌내야해...
P1 	: 자퇴를 하고 싶다 매우{emoji:❗}{emoji:❗}{emoji:❗}
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 근데 진짜 막상 자퇴하면 할 거 없잖아
P0 	: 아예 고졸이면 몰라도 대학교 자퇴면
P1 	: 그걱 막지ㅋㅋ
P0 	: 왜 자퇴하셨나요? 이런 거 물어볼 듯 면접 볼 때
P1 	: 블라인드면접보는데가야지
P0 	: 진짜 블라인드만 쳐놓고 하는 데면 어떡해
P1 	: 설마...
P0 	: ㅋㅋㅋㅋㅋㅋ 근데 수강신청
P0 	: 우린 선착순 아니라서 좋드라
P1 	: 교양도?
P0 	: 웅 다 추첨
P1 	: 우왕...
P0 	: 근데 한 학기 수업 어땟어
P1 	: 얼레벌레
P0 	: ㅋㅋㅋㅋㅋ 나도 비슷혀....
P0 	: 걍 수업이 있으니 듣고 시험이 있으니 보고....
P1 	: 전공 F 2개라 재수강해야되는데
P1 	: 아
P1 	: 자연스러웟네
P0 	: 나 4개야
P0 	: ㅋㅋ
P0 	: 투신할까
P1 	: F 4개라고?
P0 	: 웅
P0 	: A하나도 없고
P1 	: 그건나도야
P0 	: 내가
P0 	: 공부 몬한다고 한 거
P0 	: 알겠지 이제
P1 	: 근데넌안하는거지 못하는건아냐
P0 	: 한 거야
P0 	: 슬프니까 이 얘긴 그만하자
