# FILE DATA
ID : MDRW2100027279
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아 회장님 가격안보시자나여 ㅋㅋ
P1 	: 무슨물회 드실거에요?
P0 	: 저는 물회말고 그냥 회ㅎ
P0 	: 철 지났지만 사랑하는 도다리와 전어 사이서 고민중이었는데
P0 	: 지금 치과서 스케일링 당하니 입에서 피맛나 고민되네요ㅜ
P0 	: 대뜸 스케일링 ㅂㄷㅂㄷ
P0 	: 임플란트 잘 안착됐나 보러 오라 그러고선
P0 	: 글구 제가 왜 회장이에욧1
P0 	: 노비 그 자체인데ㅜㅇㅜ
P1 	: 아 늦게봤습니다 ㅠ 지성
P1 	: 스케일링하면 시원하이 좋더라구요
P1 	: 전어로 하시죠
P1 	: 다금바리 먹는 노비는 없어욧
P1 	: 임플란트 하신거는 물리적요인이었나요?
P0 	: 아뇨ㅜ 어렸을적 한 금니가 빠져서ㅜ
P0 	: 이래서 어릴때 양치습관을 잘 들여야 합니다!
P1 	: 아 맞습니다 ㅠ
P1 	: 아들 양치 습관 어찌할까 싶습니다
P1 	: 과자먹고
P1 	: 분유먹고
P1 	: 양치 시킨다고 하는데
P1 	: 안하려고해요 ㅠ
P1 	: 임플란트 하면 딱딱한 음식은 못먹죠?
P0 	: ㅜ
P0 	: 전.. 다 먹습니다
P0 	: 근데 앞니면 조심스러울 것 같아요
P0 	: 사실 별반 문제를 못 느껴서요
P0 	: 저는 회사의 노예가 아니라 위의 노예인듯ㅎ
P0 	: 홈플러스서 닭발 사고 배달앱 고르면서 집에 오다 충동적으로 돈까스집 들어왔어요ㅎ
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 아 미팅이 많아서
P1 	: 이제 봤습니다
P1 	: 와 오늘 다이내믹하셨네요 ㅋㅋㅋ
P1 	: 진정 먹신이시네요 
P1 	: 돈까스 어떻든가요?
P0 	: ㅎㅈㅎ 원래 배달 자주 시키던 곳이라 말모
P0 	: 수제소스가 끝내줘요ㅎㅎ
P0 	: 물회는 성공적이었나욧!
P1 	: 아 물회아니고
P1 	: 라이진 이라는 편백집이었습니다
P1 	: 괜찮았어요 ㅎㅎ 맛있었습니다
P1 	: 바닷가 보면서 먹으니 더 좋앗네요
P1 	: 몸은 좀 어떠세요?
P0 	: 헉 편백집! 뭘로 드셨어요?
P1 	: 차돌이엇습니다
P1 	: 차돌에 숙주?
P0 	: 회사 사람들과 편백집이라니 좋은 회사
P0 	: 맛있겠다
P1 	: 몸은요?
P1 	: 괜찮나요?
P1 	: 이상반응있으면 바로 병원가셔야됩니다
P0 	: 아직 모르겠어요
P0 	: 아!잠이 쏟아져서 집 오자마자 자다 지금 일어남
P1 	: 오 굿
P0 	: 백신에 수면제성분이 있나 의심했어요ㅎㅎ
