# FILE DATA
ID : MDRW2100011065
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 일상 트렌드>콜라보레이션 마케팅(곰표, 진로 두꺼비 등)

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 곰표 맥주
P0 	: 드셔보셨나용
P1 	: 네 먹어봤어요! 맛있더라구여
P1 	: 드셔보셨어요?
P0 	: 오호
P0 	: 다른맥주랑 뭐가다른가용
P1 	: 뭔가 맛이 좀 달고 깔끔해요.
P1 	: 저는 좋았어요 ㅋㅋㅋㅋ
P0 	: 오호 ㅎㅎㅎ 과자도 있던데 곰표 과자인가
P0 	: 그것도 드셔보샷나요?
P1 	: 그건 못먹어봤어요. 곰표가 콜라보를 많이하네요 ㅋㅋㅋ
P0 	: ㅋㅋㅋ말표 맥주도 있던거같아요
P0 	: 또 다른 콜라보 드셔보신거 있나용
P0 	: 이번에 메로나 두꺼비인가
P1 	: 아니요 ㅜㅜ 저는 곰표만 먹어봤어요
P1 	: 메로나도 콜라보 했나요?
P0 	: 네네메로나 소주인가
P0 	: 먹어보고싶어용ㅋㅋㅋ
P0 	: 다른거 뭐드셔보셨어요??
P1 	: 딱히 없어요 최근엔 ㅠㅠ
P1 	: 메로나 소주 맛있겠네요
P0 	: 드셔보고 싶으신건
P0 	: 없으신가용??
P1 	: 음 요즘 콜라보 한걸 잘 몰라서 ㅠㅠ
P1 	: 메로나 소주 이야기 들으니까 먹어보고 싶네요
P1 	: 편의점 가봐여겠어요
P0 	: 아아 ㅎㅎ 인터넷 보니까
P0 	: 진짜많더라구요
