# FILE DATA
ID : MDRW2100022774
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경북
principal_residence : 경남
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 가짜제????
P0 	: 여기서 만들어낸 시나리오지?
P0 	: 근데 분위기가 너무 무서워
P0 	: 지금 김종국 탈락했는데
P0 	: 아 목소리 너무 무섭당
P1 	: 유튜브로봐야겠다
P0 	: 런닝맨 이번 회차 추천할게
P0 	: 아 어제 대탈출도 진짜 재밌었어
P0 	: 물끄고 봐서 좀 무섭긴 했지만
P0 	: 불끄고봐서
P1 	: 정말보고싶다ㅜㅜ
P1 	: 하지만시간이없는걸,,
P0 	: 쉬는 날 있으면 보자!
P0 	: 나도 이번 주가 마지막으로 쉬는 날일 거야
P0 	: 보고싶었던 드라마 다 몰아봐야지
P0 	: 기묘한 이야기 재밌다 추천!
P1 	: 나 주말에 볼거야, ,
P1 	: 아마두
P1 	: 좋아하는 연예인 있니?
P0 	: 난 아이유를 좋아해!
P1 	: 좋아해
P1 	: 아이ㅠ
P1 	: 아이유
P0 	: 아이유는 안 좋아할 수가 없지!
P0 	: 아이유 노래 중에 뭘 제일 좋아하니?
P1 	: 나는 무릎을 좋아해
P1 	: 곡 만든 이유와 가사가 내 생각을 꼭 적은 거 같아
P0 	: 나도 그 곡 좋아해
P0 	: 나는 요즘 Love poem 이랑 아이와 나의 바다 자주 들어
P1 	: 솔직히 아이유 노래는 다 좋아
P0 	: 맞아맞아
P1 	: 아나바다도 탑에 드는 곡이양
P0 	: 아이와 나의 바다 완전 명곡이지
