# FILE DATA
ID : MDRW2100029703
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요 최근에 여행 갔다오신 데 있으세요?
P1 	: 안녕하세요~
P1 	: 코로나 때문에 어디 숙박은 못했고
P1 	: 가까운 양수리 다녀왔어요
P1 	: &name1&은요?
P0 	: 저도 그냥 드라이브만 했는데
P0 	: 속초 갔다왔었네요!
P1 	: 오오 속초 너무 좋죠!
P1 	: 먹을 것도 많구요!!!
P0 	: 바다가 있어서 제일 좋았네요
P0 	: 다들 마스크 쓰고 놀고 계시더라고요....이상한 풍경
P1 	: 와 바다에서요??!
P1 	: 저는 그 물 속에
P1 	: 마스크를 쓰고 들어간다는 게 정말 이상해요
P1 	: 워터파크도 그렇곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그니까요 다들 마스크 스고 물 속에 있는데 자꾸 인지부조화 왔네요 ㅋㅋㅋㅋㅋ
P1 	: 와... 안답답하나?!
P1 	: 숨막혀 죽을 거 같은데요?!?!
P0 	: 그니까요 ㅋㅋㅋㅋㅋ
P0 	: 거기서 유명한 기장떡?도 샀는데 맛잇더라고요
P1 	: 아 기장떡 알아요!!!!
P1 	: 코로나만 아니면 여행 어디든지 다닐텐데요ㅠ
P1 	: 해외는 ....바라지도 않아요,,,
P0 	: 국내로요?
P0 	: 국내 어디요?
P1 	: 제주도 가고싶어요~!~!
P1 	: 제주도에는 맛집도 많고,,,
P1 	: 갈 데가 많아보이더라구요~!
P0 	: 제주도 전에 딱 한 번 가봤는데
P0 	: 먹을 곳 진짜 많아요!!
P0 	: 비수기때 가서 사람도 없었고요
P1 	: 우와 비수기면 보통
P1 	: 4~6월 이 때일까요?
P1 	: 아니면 가을?!
P0 	: 네 딱 4~6월요!
P0 	: 전 5월 말쯤 다녀왔는데 좋았어요 너무 ㅠㅠ
