# FILE DATA
ID : MDRW2100032408
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아직 안하신거잖아요ㅋㅋ
P1 	: 전 수없이 실수ㅋㅋ
P0 	: 취소하고 재결제해서 완료했죠ㅎㅎ
P0 	: 아직 배울게많네요ㅎㅎ
P0 	: 쇼핑은 주로 뭐뭐하세요?
P1 	: ㅋㅋ 전 주로 떠리몰이랑 지마켓 구경하거나 필요한 물건 있을때 네이버검색이요
P0 	: ㅎㅎ 떠리몰도 있군요ㅎ 거기는 싸나요?
P0 	: 지마켓은 배송비붙으면 비싼것 같더라구요ㅎㅎ
P1 	: ㅋㅋ 가끔 득템할때가 있어요
P1 	: 버터나 치즈
P0 	: ㅎㅎ 그렇군요ㅎㅎ 전 특가 이런거 잘모르겟어요ㅎ
P0 	: 정보는있는데 제가 원하는 정보는 안나오더라구요ㅎ
P0 	: 그럼 뭐구매하셨어요?ㅎ
P1 	: 맞아요ㅜ 근데 보이는만큼 보여요
P1 	: 저 이번엔 다크초코렛
P0 	: 아아ㅎㅎ 다크초콜렛먹고싶네요ㅍ
P0 	: 살빼는데 초콜릿이 좋다고하던데 사실일까요?ㅎㅎ
P1 	: ㅋㅋ그짓말같은데 확실히 식욕은 좀 없어지는거같아요
P0 	: 맞아요ㅎ 근데 많이먹게되지않아요?ㅎㅎ
P0 	: 전초콜릿을 좋아해서ㅎ 한번먹으면 엄청많이먹어요ㅎㅎ
P0 	: 칼로리도 높잖아요ㅎ
P1 	: 다크는 많이 안먹혀요
P0 	: ㅎㅎ 암튼 구매할때는 합리적인가격보다 더싸게ㅎㅎ
P0 	: 그게 제 원칙인데ㅎ 오늘 깨버렸네요ㅎ 아이꺼 장난감산다고ㅎ 그원칙을 다무시하고 그냥 했더니ㅎ 실수할뻔했어요ㅎㅎ
P0 	: 무배도 적용안하고ㅎ 출첵했던 적립금도 안쓰곻ㅎ
P1 	: ㅋㅋ 애기꺼니까 괜찮습니다!!!!
P1 	: 소듕한 애기꺼니까요
P0 	: 맞아요 ㅎ 애기꺼는 아끼기가 좀 그래요ㅎㅎ
