# FILE DATA
ID : MDRW2100037663
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 짬뽕은 저번에 먹어봤고 오늘은 짜장이닷!!!
P1 	: 결국 중식이균
P1 	: 탕수육없너유,
P0 	: 네...짜장면만 먹었슈 ㅋㅋㅋ배불러
P1 	: ㅋㅋㅋㅋ 오늘같은날에딱인음식이군요
P0 	: ㅋㅋ짬뽕 국물 맛있당..오늘 짬뽕을 시켰어야해...
P1 	: ㅋㅋㅋㅋㅋ 어머님은짬뽕 ?
P0 	: 응ㅋㅋㅋ엄마짬뽕 뺏어먹었슈 ㅋㅋㅋ
P0 	: 언니는 밥먹고 갔남?!
P1 	: ㅋㅋㅋㅋ 웅 참치찌개끓여먹고나옴 ㅋㅋㅋ
P1 	: 후식은뭔가요?
P0 	: ㅋㅋㅋ일단 배가 넘 불러서...
P0 	: 안사먹고 그냥 있다가 집에 갈지도 ㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ계속 배속에서 불어
P0 	: ㅋㅋㅋ 그니깐ㅋㅋㅋ 아주 배부르다 꽉 찼다
P0 	: 울엄만 집에서 안먹으면 다 맛있대 ㅋㅋㅋㅋㅋ
P0 	: 남이 해주는 밥 최고
P1 	: ㅎㅎㅎ
P1 	: 맞앙 ㅋㅋㅋ너가좀해드려
P0 	: ㅋㅋ근데 내가 해주는거 내동생이 싫어함ㅋㅋㅋㅋㅋ
P1 	: 맛잇게해야지 현이맘에들게
P1 	: 으그
P1 	: ㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋ은근 기분나쁘단 말이쥐
P1 	: 난 굽네 포장할까하다가
P1 	: 오늘은집에잇는걸로!!!
P0 	: 오늘저녁?!!
P0 	: 굽네 할인하는겨?
P1 	: 웅 ㅋㅋ 5처넌에 슈클 3천에 포장10퍼쿠폰잇어서
P1 	: 굽네 기본 5500원나오던디? 더모아하면 4500원이양..
P1 	: 미쳐
P0 	: 오 포장 10퍼 이런 쿠폰도 주다니!!!!
P0 	: 그 기회를 날린단말야?!!
P1 	: 너 저번엔 포장할땨
