# FILE DATA
ID : MDRW2100023301
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 음....
P1 	: 타이밍 맞추는게 어렵군여
P1 	: 그럼 집가면 전화해달라고 하세여 ㅋㅋ
P0 	: ㅎㅎㅎ오 좋은 방안!!!
P0 	: 감사합니당 ㅎㅎㅎ
P1 	: 계속 카톡할수도 없고
P0 	: 카톡을 선호하는 거 같아요 ㅎㅎ
P0 	: 어우 자러가야겟다
P1 	: 그래두 자기전에 10분이라도 목소리를 들어줘야 ...ㅋㅋ
P0 	: 오늘 덕분에 마니 채웟네여 ㅋㅋㅋㅋ
P1 	: 우선 자고 또 얘기하죠 ㅋㅋ
P0 	: 마자여 자기전에 목소리 소중해여!
P0 	: 넹 ㅌㅌㅋㅋ안녕히 주무세요
P1 	: 굿밤!
P1 	: 저녁 드셨나여?
P0 	: 넹넹 간단히!!!
P0 	: 이제 산책 나갈거에용 남친이랑 !!
P1 	: 집이 진짜 가까운가봐요 ㅎㅎ
P0 	: 넹 옆동네!ㅋㅋㅋ
P1 	: 산책 잘하고 오셔요 ㅋㅋ 산책데이트 부럽네요
P0 	: 크크 잠깐 걸었는데두 무더운 날씨네요
P1 	: 밖에 덥나요?
P0 	: 네네 너무 후텁지근해오
P1 	: 낼부터 비온다던데
P1 	: 비올라고 그러나봐요
P0 	: ㅋㅋㅋㅋ일기예보 맨날 비만 그려져있어요
P1 	: 지겨워요
P1 	: 데이트에 방해되는 비
P0 	: 그니까여...
P0 	: 저 사귀고나서 데이트 맨날 비왔어여
P1 	: 설마....
P0 	: 진짜루..안온날이 없어요...
P1 	: 비를 몰고다니시는?
P0 	: 좀 그런 편인가...ㅋㅋㅋㅋ
P1 	: 가을 장마래요
P1 	: 비 시른데ㅜㅜ
P0 	: ㅎㅎ그니까요 제탓이 아니에요
P1 	: ㅋㅋㅋㅋㅋ 그럴까요?
P1 	: 필라테스는 언제 하세요?
P0 	: 백신 맞은 날에두 데이트하세용?
P0 	: 저 화목에 해요
P1 	: 여친하고 필라테스 하는것도 똑같네
P1 	: ㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 여친 이번주 수욜에 2차래요
P1 	: 이번주 주말엔 제가 모시러가야겠어요
P0 	: 수욜 우왕 일찍 맞네요
P0 	: 전 수업 땜에 토욜이라
P1 	: &name1&은 원격이에요?
P1 	: 아님 대면이에요?
P0 	: 지금은 원격이용 ㅜ
P1 	: 여친하고 같네요
P1 	: 담임이시죠?
P0 	: 지금은 담임안해욬ㅋㅋㅋㅋ
P1 	: 오 좋으네요
P1 	: 이번주에 백신2차 맞으셔서 데이트 주말에 못하시겠군여
