# FILE DATA
ID : MDRW2100002842
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 충남
current_residence : 서울
device : 스마트폰
keyboard : 기타

id : 2
age : 30대
occupation : 단순 노무 종사자
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오렌지는 다행히 환불받았어요 ㅎ
P1 	: 홈쇼핑으로 산거라 ㅋㅋ
P0 	: 오 다행이예요! 저 홈쇼핑은 잘안하는데
P0 	: 음식 잘못되고 이러면 빠르게처리해주는게 좋더라구요
P1 	: 광고 넘기다가 홈쇼핑 채널걸리면 그때 조심해야해요
P1 	: 특히 늦은밤 먹는거
P1 	: 국물요리 같은거
P0 	: ㅋㅋㅋㅋㅋ알죠! 그리고 튀김요리..
P0 	: 돈까스 보이면 큰일나요
P1 	: 사야 이득일것 같은 기분 알죠
P1 	: 내가 조리해도 저정도 나올것 같은 자신감 막 생기고
P0 	: 그쵸 안사면 바보..되는기분
P0 	: 안사면 0원인데 안사면 안될꺼같고
P0 	: ㅋㅋㅋㅋㅋㅋㅋ홈쇼핑에선 어쩜 그리 맛있게 드시는지
P1 	: 지금 이 가격 놓치지말래요
P1 	: 주문 굉장히 많대요
P1 	: 그럼 나도 전화 들어야지 뭐 ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ그렇다면 주문해야죠..돈가스..
P0 	: 치즈까스..홀린듯
P1 	: ㅋㅋㅋㅋ치즈 좋죠 쭈욱 들어나는 고거
P0 	: 심지어 조리도 쉽다고하니까
P1 	: 전 백종원 호텔 옆에 있다는 그 돈까스 먹어보고싶은데
P0 	: 아 연돈이요?
P1 	: 네 ㅎ 먹어보고싶어요
P1 	: 흘러나오는 치즈 멈추지않는 치즈
P0 	: 아 저두 연돈 먹어보고 싶은데 줄설 엄두가 나지않아요
P0 	: ㅋㅋㅋㅋ서울에 있을때 먹어볼껄..
P1 	: 제주도로 갑시다
P1 	: 먹기위해 ㅎ
P1 	: 근데 비슷한거 많이 있죠?
P0 	: ㅋㅋㅋㅋㅋㅋㅋ연돈이랑요?
P0 	: 비슷한곳은 많은거같은데 먹어보질 않아서
P0 	: 비교를 못해요...ㅠㅠ
P1 	: 비슷할거에요 우리 더 배고플때 먹어요
