# FILE DATA
ID : MDRW2100011849
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 신부는 방에 가만히 앉아있고
P0 	: 맞아요!!
P1 	: 시끄럽고 산만한 분위기속에서 느껴지는
P1 	: 기묘함이 대박이었어요
P0 	: 여자가 무슨 트로피같지않나요
P1 	: 맞아요
P0 	: 아까 말씀하신것처럼 신부랑 신부가족 울고
P1 	: 애초에 신부 아버지 손에서 신랑 손으로 옮겨가는 것고 그렇고
P0 	: 아 저도 그거치고잇엇어요 ㄹㅇ
P0 	: 부조리그자체
P1 	: 한쪽은 글썽이는데
P1 	: 앜ㅋㅋㅋㅋㅋ
P1 	: 신랑쪽은 행복해하고
P1 	: 이상한걸 너무 아름답게 꾸민게
P1 	: 현대예술 그 자체
P0 	: 여자 팔려가는거같지않나요???
P1 	: 맞아요
P0 	: 현대예술ㅋㅋㅋㅋㅋ ㅜㅜㅜ
P1 	: 솔직하게 느낀걸로는
P1 	: 여자가 구렁텅이로 끌려가는 걸
P1 	: 아름답게 꾸미는 느낌이에요
P0 	: 맞아요 무슨 제물 바치는 의례도아니고
P1 	: 진짜
P1 	: 와 맞아요
P1 	: 제가 신부쪽, 신랑쪽 지인으로 둘다 가봤는데
P1 	: 신부쪽에서는
P1 	: 진짜 눈물 흘리는 사람이 꽤 있었어요
P1 	: 그 자체가 사실상 다들 알고 있는게 아닌가
P0 	: 맞아요
P0 	: 신부 친구들도 막 울고
P1 	: 맞아요
