# FILE DATA
ID : MDRW2100015268
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 대학생활 즐거우셨어요?
P0 	: 대학생활 즐거우셨나요?!
P1 	: 그당시엔 잘몰랐던거같은데 ㅋㅋㅋㅋ지나고보니 정말 좋았던 시절이었다구 생각해용 ㅋㅋㅋㅋㅋ
P1 	: 다시 돌아가면 전공도 바꾸고싶고
P1 	: 공부 더 열심히하구 더 열심히 놀수있을거같아요
P0 	: 오 전공 무엇인지 여쭤봐도 될까요?
P1 	: 저 화공이요 ㅋㅋㅋㅋㅋㅋ아 왜 화공했지...컴공을 갔어야 합니다!!! ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 혹시 &name1&님은 전공이 어떻게되세요??ㅋㅋㅋ
P0 	: 오 대단하시네요
P0 	: 저는 초등교육과예요!
P0 	: 제가 찐 문과였기때문에 이공계열은 다 엄청 똑똑하고 대단하신것같아요ㅋㅋㅋ
P1 	: 전혀 아닙니다 ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 초등교육과면 선생님 준비하시나요?!
P0 	: 아 마자요!!
P0 	: 아직 1학년이에요ㅎㅎ
P1 	: 어머머 1학년!!!! 와.....와....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그래서 저는 대학생활이 즐겁지가 않아요
P1 	: 그럼 입학하고 거의 비대면으로만 했겠네요?!?! 불편한점은 없나요??
P0 	: 너무 힘든 것 같아요
P0 	: 아 비대면은 집순이라서 좋다고 생각해요!!
P1 	: 아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이해합니다
P1 	: 오 저도 완전 집순이에요 학교다닐때 아싸중의 아싸였답니다 ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그래도 학교다닐때가좋은게모냐묜
P0 	: ㅠㅠㅠ친구사귀는 것도 조금 힘든것 같아요
P0 	: 넹!
P1 	: 거기서 싫은사람은 안보려고 노력하면 안볼수있잖아요?! 근데 회사에서는 안보고싶은사람도 볼수밖에없어요  미칩니다~~ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그쵸ㅜㅜ 비대면이니까 친구사귀기 더힘들겠네요ㅠㅠㅠㅠㅠㅠ
P1 	: 저는 약간 친구 한두명만있으면 된다 이런편이어서 ㅋㅋㅋㅋㅋ
P0 	: 앜ㅋㅋㅋㅋ 그러네요 저도 지금까지 늘 학창시절을 그렇게 보내서 앞으로도
P0 	: 대학생활도 그렇게 보내고 싶어요
P0 	: 마음 맞는 친구..
P0 	: 과제 땜에 동기 한번 만났는데 그 친구는 활달해서 다른 동기들도 많이 만나고 그러더라고요ㅋㅋㅋㅜㅜ
P1 	: 진짜 마음맞는 친구 한명만있어도 좋쥬 ㅋㅋㅋㅋ
P1 	: 비대면인데도..그럴수있군요...그런성격 신기...ㅋㅋㅋㅋ
P0 	: 그친구는 긱사살아서 더그런것같았어요ㅎㅎㅠ
P0 	: 학생때 교양 수업 과제 어려우시지 않았어요?
P0 	: 대학생활 어려운점이 과제가 막 내 생각을 쓰고 끄집어내는게 힘든것 같아요ㅋㅋㅋ
P1 	: 아 그쵸ㅠㅠㅠㅠㅠ저는 걍 실험보고서 쓰는게 낫지 제 생각으로 뭐 하라는거 진짜 싫어했어요 ㅋㅋㅋㅋㅋㅋㅋㅋ아이디어내고 이런거도 진짜못하구 ㅠㅠ
P0 	: 마자요ㅠㅠ 근데 동기들 보면 또 잘해서 그만큼 해야하니까 끙끙되는 것 같아요ㅋㅋㅋㅋ
P1 	: &name1&님은 잘해내실수 있을거에요!!!!! 진짜!!!!!!!잘하는 동기들 있는것도 나름 또 좋은거라고 생각해요!!!! 주변이 다 못하면 그건 또 그거대로 안좋을거에요!! 너무 제말이 꼰대같은까봨ㅋㅋㅋㅋ조심스럽네유 ㅋㅋㅋㅋ
P0 	: 앗 막 쪼금 자랑해두 될까요..?!
P1 	: 네넹!!!자랑 맘껏해주세요ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 이번에 학점 4.5 맞았어요 ㅎㅎ!!!
P0 	: 근데 이번에 코로나라
P0 	: a, a+을 50퍼까지 줄수있어서 4.5가 많은거예요ㅠㅠ
P0 	: 학교추합으로 들어와서 1등 전체감면 2~5등까지 130만원 받는데
P0 	: 그뒤는 그냥 상위 20% 30만원 주거든요ㅠㅠ 구래서 이번에 30만원 밖에 못받았답니다...
P1 	: 4.5!!!!!!동네방네 자랑하고 다녀도 됩니다 이건ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅠ 그래서 또 2학기가 약간 두렵습니다
P1 	: 30만원이 어딥니까...저는 그런거 받아본적이 없어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 제가느끼기엔 교환학생이 더 대단하신걸요
P1 	: 잘하실거에요 제가 잘하실거라고 말할 처지가 못돼네욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 학교 다니실때 통학하셨나요?
