# FILE DATA
ID : MDRW2100013056
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 오 미용실
P1 	: 뿌염??
P0 	: 뿌염도 해야되는데
P0 	: 급한거는 머리가 너무 막 붕뜨고 곱슬해서ㅋㅋ
P0 	: 매직펌하러옴. 2~3달전에
P0 	: 미용실에서 머리했는데 손상 제대로되가ㅜ
P1 	: 미용실 어디 갔어??
P1 	: 에헤이 손상돼서 어떡하노
P1 	: 나도 전에 싼 데서 머리했는데
P1 	: 그 뒤로 머리 다 상해서
P1 	: 아직도 머리 엉킴
P0 	: 응 그러니깐
P0 	: 지금은 유헤어왔는데
P0 	: 그전엔 가온
P0 	: ㅜㅜ
P1 	: 가온이 거기 오케이 마트에 있는 골목 맞제
P1 	: 이마트 24 이층
P1 	: 나도 가온에서 파마랑 염색하고 머릿결 썩었음
P0 	: 응 맞아
P0 	: 아 언니도그랫구나ㅜ
P0 	: 물어보고 갈걸ㅜ
P1 	: 거기 가격은 싼데 약이 정말 별로임
P1 	: 싼 데는 다 이유가 있다
P1 	: 거기 그때 오픈했을 때 갔는데
P1 	: 아직도 머릿결이 엉망 임
P0 	: 그렇네 진짜
P0 	: 그래두 6만원주고 파마했는데
P0 	: 정말 엉망이다
P1 	: 그래 진짜 짜증남
P1 	: 내 그때 파마하고 염색 같은날 했거든
P1 	: 두개같이하면 머리결 상하잖아
P1 	: 그래서 물어보고 영양도 같이 넣어달라했는데
P0 	: 맞어
P0 	: 나두 두개같이 하려다가 그냥 하나만했거든ㅜ아휴
P0 	: 진짜 이럴줄이야
P0 	: 빗질이안된다
P1 	: 맞제?? 나는 염색약 바르자마자
P1 	: 두피 타는거 같이 너무 따가워서
P1 	: 바로 씻겨달라했거든
P1 	: 머리감고나서도 너무 따갑고 타는기분인거야
P1 	: 그뒤로 머리 빗질안되서
P1 	: 여태 중간중간 가위로 자름....
P1 	: 거기오픈행사때였는데
P1 	: 휴....
P0 	: 그라이 머리정리하고왔다
P0 	: 좋다ㅋ
P1 	: 잘했네
P1 	: 계속 잘라내야됨
P0 	: 맞다. 맞다. ㅋㅋㅋ 이제 집에왔다 .점심먹으려구
P0 	: 언니 나도 ㅋㅋ
