# FILE DATA
ID : MDRW2100026803
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 농림/어업/임업 종사자
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  3
contact_frequency  :  주 1회 미만

P0 	: 옷 사고 싶다
P1 	: 헐 나듕
P1 	: 가을은 옷에 계절이지
P0 	: 진짜 후드집업 지금 까만거 살말 고민중이얌 힝
P0 	: 가을되니까 레깅스사고싶고.....
P1 	: 헐 나 레깅스 봄부터 사고싶어서 정말
P1 	: 이번에 재난 지원금 들어오는 걸루 레깅스 살까...
P1 	: 후드집업 회색은 샀오?
P0 	: 헐 그러네 재난지원금들오면 그걸루사까...
P0 	: 아이보리? 삿어용 배색들간거
P0 	: 약간 후리스같은?
P0 	: 긍데 그냥 집업도 하나잇능게역시(?)
P1 	: 웅웅 그치
P1 	: 후리스는 후리스고 집업은 집업이거등
P1 	: 재난지원금으로 갤럭시워치 사고 싶은 나...
P1 	: 엄마가 질색하던데
P0 	: ....나도.......
P0 	: 왜ㅜㅜㅜ
P0 	: ㄱ9ㄹ럭시워치갖소싶어...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그래서 옷이나 사려고...
P1 	: 애초에 폰이 s9인데
P1 	: 갤워치 조금.... 사치스럽고
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 나는 ... 엘지폰이라.....
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 근데 상관 없지 않아???
P1 	: 호환된다구요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그치...?!!! 아 사구싳다진짜...
P1 	: 나는 실버사고 싶어
P1 	: 근데 갤워치 못 사더라도 시계 하나 살듯
P1 	: 그 약간 욕망을 이루지 못해서 부수적 소비하게되는 거 먼지알지...
P0 	: 마저마저.......
P0 	: 워치.........고민된다진짜........
P0 	: 플립도........
P1 	: 아 레알 플립...
P1 	: 너무 사고 싶어서 공중회전제비 두바퀴 돌 수도 있다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ근데 역시 내구도가 신경쓰여
P1 	: 폰 와장창 떨어뜨리는 사람은...
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ마저.....나도.....
P0 	: 액정필름....유리로된것도못붙이고....
P0 	: 나 진짜 폰 잘떨어끄린단말야....
P1 	: ㅠㅠㅠㅠ마자마자 액정붙이는 거 어려워
P0 	: 엄마 이번에 플립한거
P0 	: 이틀? 사흫? 됐나 근데
P0 	: 지금 폰 좀 이상하대서
P0 	: 아까 볼때까진멀쩡햇는데
P0 	: 저녁에 일땜에 전화하니까 폰이 먹통댔다는거야
P1 	: 엥
P1 	: 뭐야
P1 	: 에반데.....
P0 	: 그니까...뭔일인지는..낼봐야알거같긴한데..아니 삼일망에 무슨..
P1 	: 리퍼 각이다...개짱나
P1 	: &name1&님 레깅스 머입어
P1 	: 정보공유를 요구해본다
P0 	: 잉 저두고밈중이에용
P0 	: 예전에는 무신사이런데거 산적있는데 가격에비해ㅜ내구성약한게ㅜ많아서
P0 	: 아예 필라테스나 요가복 파는쪽에서 살까싶음 ㅠ
P1 	: 아니 나 웅웅
P1 	: 산소팬츠? 라고 유명한 거 사보고 싶어가지고
P1 	: 저는 뮬라웨어 안다르 이런데서 샀어요
P1 	: 근데 확실히 운동쪽 레깅스는 좀 많이 쨍기니까
P1 	: 루즈한 거 입어보고 싶기두 하고ㅠㅜ
P0 	: 마저 운동복레깅스는 많이 쨍기긴해...
P0 	: 근데 얇고 재봉선있는 거는 잘뜯어지는거같고 그래서 ㅜㅜ
P0 	: 나 재작년에? 잘입구 다녓던 레깅그
P0 	: 딱 그 해밖에 못입어서 ,,
P1 	: 아 얇은 거는 그런 거 같아 진짜루
P1 	: 레깅스도 사기 쉬운 것이 아니구먼...
P0 	: 그르게..,, 힝 ㅠㅠㅠ
P1 	: 입어보고 살 수가 없으니까...ㅠㅠ
P0 	: 마저마저 입어볼수가 없으니까...ㅜㅜ 솔직히 길이도 잘모르겟어 ㅜㅠ 바지는 대충 너무길지만ㄴ않음 입는데
P0 	: 레깅스는 길면 발목우그러지는게 시러.....
P1 	: 마자....
P1 	: 그런 사이즈는 금방 품절이야
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 8부 나와서ㅜ좋다고 햇는뎅
P1 	: 암튼 품절...짜잉나네요
